D,EDD_order,P,SPT_order,d_by_rank,d_multiset,instance_id,n,p_by_rank,tau_den,tau_num
12,"[3,1,2,4]",10,"[1,2,3,4]","[2,3,1,6]","[1,2,3,6]",n4_o003_r0117,4,"[1,2,3,4]",10,7
12,"[4,1,2,3]",10,"[1,2,3,4]","[2,3,6,1]","[1,2,3,6]",n4_o003_r0118,4,"[1,2,3,4]",10,7
12,"[3,1,4,2]",10,"[1,2,3,4]","[2,6,1,3]","[1,2,3,6]",n4_o003_r0119,4,"[1,2,3,4]",10,7
12,"[4,1,3,2]",10,"[1,2,3,4]","[2,6,3,1]","[1,2,3,6]",n4_o003_r0120,4,"[1,2,3,4]",10,7
12,"[2,3,1,4]",10,"[1,2,3,4]","[3,1,2,6]","[1,2,3,6]",n4_o003_r0121,4,"[1,2,3,4]",10,7
12,"[2,4,1,3]",10,"[1,2,3,4]","[3,1,6,2]","[1,2,3,6]",n4_o003_r0122,4,"[1,2,3,4]",10,7
12,"[3,2,1,4]",10,"[1,2,3,4]","[3,2,1,6]","[1,2,3,6]",n4_o003_r0123,4,"[1,2,3,4]",10,7
12,"[4,2,1,3]",10,"[1,2,3,4]","[3,2,6,1]","[1,2,3,6]",n4_o003_r0124,4,"[1,2,3,4]",10,7
12,"[3,4,1,2]",10,"[1,2,3,4]","[3,6,1,2]","[1,2,3,6]",n4_o003_r0125,4,"[1,2,3,4]",10,7
12,"[4,3,1,2]",10,"[1,2,3,4]","[3,6,2,1]","[1,2,3,6]",n4_o003_r0126,4,"[1,2,3,4]",10,7
12,"[2,3,4,1]",10,"[1,2,3,4]","[6,1,2,3]","[1,2,3,6]",n4_o003_r0127,4,"[1,2,3,4]",10,7
12,"[2,4,3,1]",10,"[1,2,3,4]","[6,1,3,2]","[1,2,3,6]",n4_o003_r0128,4,"[1,2,3,4]",10,7
12,"[3,2,4,1]",10,"[1,2,3,4]","[6,2,1,3]","[1,2,3,6]",n4_o003_r0129,4,"[1,2,3,4]",10,7
12,"[4,2,3,1]",10,"[1,2,3,4]","[6,2,3,1]","[1,2,3,6]",n4_o003_r0130,4,"[1,2,3,4]",10,7
12,"[3,4,2,1]",10,"[1,2,3,4]","[6,3,1,2]","[1,2,3,6]",n4_o003_r0131,4,"[1,2,3,4]",10,7
12,"[4,3,2,1]",10,"[1,2,3,4]","[6,3,2,1]","[1,2,3,6]",n4_o003_r0132,4,"[1,2,3,4]",10,7
13,"[1,2,3,4]",10,"[1,2,3,4]","[1,2,3,7]","[1,2,3,7]",n4_o004_r0133,4,"[1,2,3,4]",40,27
13,"[1,2,4,3]",10,"[1,2,3,4]","[1,2,7,3]","[1,2,3,7]",n4_o004_r0134,4,"[1,2,3,4]",40,27
13,"[1,3,2,4]",10,"[1,2,3,4]","[1,3,2,7]","[1,2,3,7]",n4_o004_r0135,4,"[1,2,3,4]",40,27
13,"[1,4,2,3]",10,"[1,2,3,4]","[1,3,7,2]","[1,2,3,7]",n4_o004_r0136,4,"[1,2,3,4]",40,27
13,"[1,3,4,2]",10,"[1,2,3,4]","[1,7,2,3]","[1,2,3,7]",n4_o004_r0137,4,"[1,2,3,4]",40,27
13,"[1,4,3,2]",10,"[1,2,3,4]","[1,7,3,2]","[1,2,3,7]",n4_o004_r0138,4,"[1,2,3,4]",40,27
13,"[2,1,3,4]",10,"[1,2,3,4]","[2,1,3,7]","[1,2,3,7]",n4_o004_r0139,4,"[1,2,3,4]",40,27
13,"[2,1,4,3]",10,"[1,2,3,4]","[2,1,7,3]","[1,2,3,7]",n4_o004_r0140,4,"[1,2,3,4]",40,27
13,"[3,1,2,4]",10,"[1,2,3,4]","[2,3,1,7]","[1,2,3,7]",n4_o004_r0141,4,"[1,2,3,4]",40,27
13,"[4,1,2,3]",10,"[1,2,3,4]","[2,3,7,1]","[1,2,3,7]",n4_o004_r0142,4,"[1,2,3,4]",40,27
13,"[3,1,4,2]",10,"[1,2,3,4]","[2,7,1,3]","[1,2,3,7]",n4_o004_r0143,4,"[1,2,3,4]",40,27
13,"[4,1,3,2]",10,"[1,2,3,4]","[2,7,3,1]","[1,2,3,7]",n4_o004_r0144,4,"[1,2,3,4]",40,27
13,"[2,3,1,4]",10,"[1,2,3,4]","[3,1,2,7]","[1,2,3,7]",n4_o004_r0145,4,"[1,2,3,4]",40,27
13,"[2,4,1,3]",10,"[1,2,3,4]","[3,1,7,2]","[1,2,3,7]",n4_o004_r0146,4,"[1,2,3,4]",40,27
13,"[3,2,1,4]",10,"[1,2,3,4]","[3,2,1,7]","[1,2,3,7]",n4_o004_r0147,4,"[1,2,3,4]",40,27
13,"[4,2,1,3]",10,"[1,2,3,4]","[3,2,7,1]","[1,2,3,7]",n4_o004_r0148,4,"[1,2,3,4]",40,27
13,"[3,4,1,2]",10,"[1,2,3,4]","[3,7,1,2]","[1,2,3,7]",n4_o004_r0149,4,"[1,2,3,4]",40,27
13,"[4,3,1,2]",10,"[1,2,3,4]","[3,7,2,1]","[1,2,3,7]",n4_o004_r0150,4,"[1,2,3,4]",40,27
13,"[2,3,4,1]",10,"[1,2,3,4]","[7,1,2,3]","[1,2,3,7]",n4_o004_r0151,4,"[1,2,3,4]",40,27
13,"[2,4,3,1]",10,"[1,2,3,4]","[7,1,3,2]","[1,2,3,7]",n4_o004_r0152,4,"[1,2,3,4]",40,27
13,"[3,2,4,1]",10,"[1,2,3,4]","[7,2,1,3]","[1,2,3,7]",n4_o004_r0153,4,"[1,2,3,4]",40,27
13,"[4,2,3,1]",10,"[1,2,3,4]","[7,2,3,1]","[1,2,3,7]",n4_o004_r0154,4,"[1,2,3,4]",40,27
13,"[3,4,2,1]",10,"[1,2,3,4]","[7,3,1,2]","[1,2,3,7]",n4_o004_r0155,4,"[1,2,3,4]",40,27
13,"[4,3,2,1]",10,"[1,2,3,4]","[7,3,2,1]","[1,2,3,7]",n4_o004_r0156,4,"[1,2,3,4]",40,27
14,"[1,2,3,4]",10,"[1,2,3,4]","[1,2,3,8]","[1,2,3,8]",n4_o005_r0157,4,"[1,2,3,4]",20,13
14,"[1,2,4,3]",10,"[1,2,3,4]","[1,2,8,3]","[1,2,3,8]",n4_o005_r0158,4,"[1,2,3,4]",20,13
14,"[1,3,2,4]",10,"[1,2,3,4]","[1,3,2,8]","[1,2,3,8]",n4_o005_r0159,4,"[1,2,3,4]",20,13
14,"[1,4,2,3]",10,"[1,2,3,4]","[1,3,8,2]","[1,2,3,8]",n4_o005_r0160,4,"[1,2,3,4]",20,13
14,"[1,3,4,2]",10,"[1,2,3,4]","[1,8,2,3]","[1,2,3,8]",n4_o005_r0161,4,"[1,2,3,4]",20,13
14,"[1,4,3,2]",10,"[1,2,3,4]","[1,8,3,2]","[1,2,3,8]",n4_o005_r0162,4,"[1,2,3,4]",20,13
14,"[2,1,3,4]",10,"[1,2,3,4]","[2,1,3,8]","[1,2,3,8]",n4_o005_r0163,4,"[1,2,3,4]",20,13
14,"[2,1,4,3]",10,"[1,2,3,4]","[2,1,8,3]","[1,2,3,8]",n4_o005_r0164,4,"[1,2,3,4]",20,13
14,"[3,1,2,4]",10,"[1,2,3,4]","[2,3,1,8]","[1,2,3,8]",n4_o005_r0165,4,"[1,2,3,4]",20,13
14,"[4,1,2,3]",10,"[1,2,3,4]","[2,3,8,1]","[1,2,3,8]",n4_o005_r0166,4,"[1,2,3,4]",20,13
14,"[3,1,4,2]",10,"[1,2,3,4]","[2,8,1,3]","[1,2,3,8]",n4_o005_r0167,4,"[1,2,3,4]",20,13
14,"[4,1,3,2]",10,"[1,2,3,4]","[2,8,3,1]","[1,2,3,8]",n4_o005_r0168,4,"[1,2,3,4]",20,13
14,"[2,3,1,4]",10,"[1,2,3,4]","[3,1,2,8]","[1,2,3,8]",n4_o005_r0169,4,"[1,2,3,4]",20,13
14,"[2,4,1,3]",10,"[1,2,3,4]","[3,1,8,2]","[1,2,3,8]",n4_o005_r0170,4,"[1,2,3,4]",20,13
14,"[3,2,1,4]",10,"[1,2,3,4]","[3,2,1,8]","[1,2,3,8]",n4_o005_r0171,4,"[1,2,3,4]",20,13
14,"[4,2,1,3]",10,"[1,2,3,4]","[3,2,8,1]","[1,2,3,8]",n4_o005_r0172,4,"[1,2,3,4]",20,13
14,"[3,4,1,2]",10,"[1,2,3,4]","[3,8,1,2]","[1,2,3,8]",n4_o005_r0173,4,"[1,2,3,4]",20,13
14,"[4,3,1,2]",10,"[1,2,3,4]","[3,8,2,1]","[1,2,3,8]",n4_o005_r0174,4,"[1,2,3,4]",20,13
14,"[2,3,4,1]",10,"[1,2,3,4]","[8,1,2,3]","[1,2,3,8]",n4_o005_r0175,4,"[1,2,3,4]",20,13
14,"[2,4,3,1]",10,"[1,2,3,4]","[8,1,3,2]","[1,2,3,8]",n4_o005_r0176,4,"[1,2,3,4]",20,13
14,"[3,2,4,1]",10,"[1,2,3,4]","[8,2,1,3]","[1,2,3,8]",n4_o005_r0177,4,"[1,2,3,4]",20,13
14,"[4,2,3,1]",10,"[1,2,3,4]","[8,2,3,1]","[1,2,3,8]",n4_o005_r0178,4,"[1,2,3,4]",20,13
14,"[3,4,2,1]",10,"[1,2,3,4]","[8,3,1,2]","[1,2,3,8]",n4_o005_r0179,4,"[1,2,3,4]",20,13
14,"[4,3,2,1]",10,"[1,2,3,4]","[8,3,2,1]","[1,2,3,8]",n4_o005_r0180,4,"[1,2,3,4]",20,13
15,"[1,2,3,4]",10,"[1,2,3,4]","[1,2,3,9]","[1,2,3,9]",n4_o006_r0181,4,"[1,2,3,4]",8,5
15,"[1,2,4,3]",10,"[1,2,3,4]","[1,2,9,3]","[1,2,3,9]",n4_o006_r0182,4,"[1,2,3,4]",8,5
15,"[1,3,2,4]",10,"[1,2,3,4]","[1,3,2,9]","[1,2,3,9]",n4_o006_r0183,4,"[1,2,3,4]",8,5
15,"[1,4,2,3]",10,"[1,2,3,4]","[1,3,9,2]","[1,2,3,9]",n4_o006_r0184,4,"[1,2,3,4]",8,5
15,"[1,3,4,2]",10,"[1,2,3,4]","[1,9,2,3]","[1,2,3,9]",n4_o006_r0185,4,"[1,2,3,4]",8,5
15,"[1,4,3,2]",10,"[1,2,3,4]","[1,9,3,2]","[1,2,3,9]",n4_o006_r0186,4,"[1,2,3,4]",8,5
15,"[2,1,3,4]",10,"[1,2,3,4]","[2,1,3,9]","[1,2,3,9]",n4_o006_r0187,4,"[1,2,3,4]",8,5
15,"[2,1,4,3]",10,"[1,2,3,4]","[2,1,9,3]","[1,2,3,9]",n4_o006_r0188,4,"[1,2,3,4]",8,5
15,"[3,1,2,4]",10,"[1,2,3,4]","[2,3,1,9]","[1,2,3,9]",n4_o006_r0189,4,"[1,2,3,4]",8,5
15,"[4,1,2,3]",10,"[1,2,3,4]","[2,3,9,1]","[1,2,3,9]",n4_o006_r0190,4,"[1,2,3,4]",8,5
15,"[3,1,4,2]",10,"[1,2,3,4]","[2,9,1,3]","[1,2,3,9]",n4_o006_r0191,4,"[1,2,3,4]",8,5
15,"[4,1,3,2]",10,"[1,2,3,4]","[2,9,3,1]","[1,2,3,9]",n4_o006_r0192,4,"[1,2,3,4]",8,5
15,"[2,3,1,4]",10,"[1,2,3,4]","[3,1,2,9]","[1,2,3,9]",n4_o006_r0193,4,"[1,2,3,4]",8,5
15,"[2,4,1,3]",10,"[1,2,3,4]","[3,1,9,2]","[1,2,3,9]",n4_o006_r0194,4,"[1,2,3,4]",8,5
15,"[3,2,1,4]",10,"[1,2,3,4]","[3,2,1,9]","[1,2,3,9]",n4_o006_r0195,4,"[1,2,3,4]",8,5
15,"[4,2,1,3]",10,"[1,2,3,4]","[3,2,9,1]","[1,2,3,9]",n4_o006_r0196,4,"[1,2,3,4]",8,5
15,"[3,4,1,2]",10,"[1,2,3,4]","[3,9,1,2]","[1,2,3,9]",n4_o006_r0197,4,"[1,2,3,4]",8,5
15,"[4,3,1,2]",10,"[1,2,3,4]","[3,9,2,1]","[1,2,3,9]",n4_o006_r0198,4,"[1,2,3,4]",8,5
