Delta_change,category,changed_p_ranks,class_id,exact_identity,pattern,responsible_p_ranks
1,EDD_ONLY_CHANGE,"[2,3]",V2C00107,Delta_high-Delta_low=(0)-(-1)=1,"[[2,3],1,1,""EDD_ONLY_CHANGE""]","[2,3]"
1,EDD_ONLY_CHANGE,"[2,3]",V2C00111,Delta_high-Delta_low=(0)-(-1)=1,"[[2,3],1,1,""EDD_ONLY_CHANGE""]","[2,3]"
1,BOTH_CHANGE_OFFSETTING,"[1,3]",V2C00120,Delta_high-Delta_low=(-1)-(-2)=1,"[[1,3],1,1,""BOTH_CHANGE_OFFSETTING""]","[1,3]"
1,EDD_ONLY_CHANGE,"[2,3]",V2C00126,Delta_high-Delta_low=(0)-(-1)=1,"[[2,3],1,1,""EDD_ONLY_CHANGE""]","[2,3]"
1,BOTH_CHANGE_OFFSETTING,"[1,3]",V2C00129,Delta_high-Delta_low=(-1)-(-2)=1,"[[1,3],1,1,""BOTH_CHANGE_OFFSETTING""]","[1,3]"
1,EDD_ONLY_CHANGE,"[2,3]",V2C00138,Delta_high-Delta_low=(0)-(-1)=1,"[[2,3],1,1,""EDD_ONLY_CHANGE""]","[2,3]"
1,BOTH_CHANGE_OFFSETTING,"[1,3]",V2C00141,Delta_high-Delta_low=(-1)-(-2)=1,"[[1,3],1,1,""BOTH_CHANGE_OFFSETTING""]","[1,3]"
1,EDD_ONLY_CHANGE,"[2,3]",V2C00151,Delta_high-Delta_low=(0)-(-1)=1,"[[2,3],1,1,""EDD_ONLY_CHANGE""]","[2,3]"
1,EDD_ONLY_CHANGE,"[2,3]",V2C00155,Delta_high-Delta_low=(0)-(-1)=1,"[[2,3],1,1,""EDD_ONLY_CHANGE""]","[2,3]"
1,BOTH_CHANGE_OFFSETTING,"[1,3]",V2C00158,Delta_high-Delta_low=(-1)-(-2)=1,"[[1,3],1,1,""BOTH_CHANGE_OFFSETTING""]","[1,3]"
1,EDD_ONLY_CHANGE,"[2,3]",V2C00169,Delta_high-Delta_low=(0)-(-1)=1,"[[2,3],1,1,""EDD_ONLY_CHANGE""]","[2,3]"
1,EDD_ONLY_CHANGE,"[2,3]",V2C00171,Delta_high-Delta_low=(0)-(-1)=1,"[[2,3],1,1,""EDD_ONLY_CHANGE""]","[2,3]"
1,BOTH_CHANGE_OFFSETTING,"[1,3]",V2C00172,Delta_high-Delta_low=(-1)-(-2)=1,"[[1,3],1,1,""BOTH_CHANGE_OFFSETTING""]","[1,3]"
1,EDD_ONLY_CHANGE,"[2,3]",V2C00183,Delta_high-Delta_low=(0)-(-1)=1,"[[2,3],1,1,""EDD_ONLY_CHANGE""]","[2,3]"
1,EDD_ONLY_CHANGE,"[2,3]",V2C00187,Delta_high-Delta_low=(0)-(-1)=1,"[[2,3],1,1,""EDD_ONLY_CHANGE""]","[2,3]"
1,EDD_ONLY_CHANGE,"[2,3]",V2C00199,Delta_high-Delta_low=(0)-(-1)=1,"[[2,3],1,1,""EDD_ONLY_CHANGE""]","[2,3]"
1,EDD_ONLY_CHANGE,"[2,3]",V2C00214,Delta_high-Delta_low=(0)-(-1)=1,"[[2,3],1,1,""EDD_ONLY_CHANGE""]","[2,3]"
1,BOTH_CHANGE_OFFSETTING,"[1,3]",V2C00221,Delta_high-Delta_low=(-1)-(-2)=1,"[[1,3],1,1,""BOTH_CHANGE_OFFSETTING""]","[1,3]"
1,EDD_ONLY_CHANGE,"[2,3]",V2C00232,Delta_high-Delta_low=(0)-(-1)=1,"[[2,3],1,1,""EDD_ONLY_CHANGE""]","[2,3]"
1,BOTH_CHANGE_OFFSETTING,"[1,3]",V2C00236,Delta_high-Delta_low=(-1)-(-2)=1,"[[1,3],1,1,""BOTH_CHANGE_OFFSETTING""]","[1,3]"
1,EDD_ONLY_CHANGE,"[2,3]",V2C00245,Delta_high-Delta_low=(0)-(-1)=1,"[[2,3],1,1,""EDD_ONLY_CHANGE""]","[2,3]"
1,EDD_ONLY_CHANGE,"[2,3]",V2C00270,Delta_high-Delta_low=(0)-(-1)=1,"[[2,3],1,1,""EDD_ONLY_CHANGE""]","[2,3]"
1,BOTH_CHANGE_OFFSETTING,"[1,3]",V2C00273,Delta_high-Delta_low=(-1)-(-2)=1,"[[1,3],1,1,""BOTH_CHANGE_OFFSETTING""]","[1,3]"
1,EDD_ONLY_CHANGE,"[2,3]",V2C00281,Delta_high-Delta_low=(0)-(-1)=1,"[[2,3],1,1,""EDD_ONLY_CHANGE""]","[2,3]"
1,EDD_ONLY_CHANGE,"[2,3]",V2C00309,Delta_high-Delta_low=(0)-(-1)=1,"[[2,3],1,1,""EDD_ONLY_CHANGE""]","[2,3]"
1,BOTH_CHANGE_OFFSETTING,"[1,3]",V2C00362,Delta_high-Delta_low=(-1)-(-2)=1,"[[1,3],1,1,""BOTH_CHANGE_OFFSETTING""]","[1,3]"
1,BOTH_CHANGE_OFFSETTING,"[1,3]",V2C00895,Delta_high-Delta_low=(-1)-(-2)=1,"[[1,3],1,1,""BOTH_CHANGE_OFFSETTING""]","[1,3]"
