Delta,class_id,completion,delta_j,due_date,instance_side,p_rank,schedule,sequence_position,tardiness
-2,V2C00056,6,3,1,low_SPT,3,SPT,3,5
-2,V2C00056,10,0,5,low_SPT,4,SPT,4,5
-1,V2C00056,1,0,1,high_SPT,1,SPT,1,0
-1,V2C00056,3,-3,3,high_SPT,2,SPT,2,0
-1,V2C00056,6,2,2,high_SPT,3,SPT,3,4
-1,V2C00056,10,0,5,high_SPT,4,SPT,4,5
-2,V2C00056,3,3,1,low_EDD,3,EDD,1,2
-2,V2C00056,4,-2,2,low_EDD,1,EDD,2,2
-2,V2C00056,6,-3,3,low_EDD,2,EDD,3,3
-2,V2C00056,10,0,5,low_EDD,4,EDD,4,5
-1,V2C00056,1,0,1,high_EDD,1,EDD,1,0
-1,V2C00056,4,2,2,high_EDD,3,EDD,2,2
-1,V2C00056,6,-3,3,high_EDD,2,EDD,3,3
-1,V2C00056,10,0,5,high_EDD,4,EDD,4,5
-2,V2C00060,1,-3,3,low_SPT,1,SPT,1,0
-2,V2C00060,3,-2,2,low_SPT,2,SPT,2,1
-2,V2C00060,6,3,1,low_SPT,3,SPT,3,5
-2,V2C00060,10,0,5,low_SPT,4,SPT,4,5
-1,V2C00060,1,-3,3,high_SPT,1,SPT,1,0
-1,V2C00060,3,1,1,high_SPT,2,SPT,2,2
-1,V2C00060,6,1,2,high_SPT,3,SPT,3,4
-1,V2C00060,10,0,5,high_SPT,4,SPT,4,5
-2,V2C00060,3,3,1,low_EDD,3,EDD,1,2
-2,V2C00060,5,-2,2,low_EDD,2,EDD,2,3
-2,V2C00060,6,-3,3,low_EDD,1,EDD,3,3
-2,V2C00060,10,0,5,low_EDD,4,EDD,4,5
-1,V2C00060,2,1,1,high_EDD,2,EDD,1,1
-1,V2C00060,5,1,2,high_EDD,3,EDD,2,3
-1,V2C00060,6,-3,3,high_EDD,1,EDD,3,3
-1,V2C00060,10,0,5,high_EDD,4,EDD,4,5
-2,V2C00063,1,-2,2,low_SPT,1,SPT,1,0
-2,V2C00063,3,-5,5,low_SPT,2,SPT,2,0
-2,V2C00063,6,3,1,low_SPT,3,SPT,3,5
-2,V2C00063,10,2,3,low_SPT,4,SPT,4,7
-1,V2C00063,1,0,1,high_SPT,1,SPT,1,0
-1,V2C00063,3,-5,5,high_SPT,2,SPT,2,0
-1,V2C00063,6,2,2,high_SPT,3,SPT,3,4
-1,V2C00063,10,2,3,high_SPT,4,SPT,4,7
-2,V2C00063,3,3,1,low_EDD,3,EDD,1,2
-2,V2C00063,4,-2,2,low_EDD,1,EDD,2,2
-2,V2C00063,8,2,3,low_EDD,4,EDD,3,5
-2,V2C00063,10,-5,5,low_EDD,2,EDD,4,5
-1,V2C00063,1,0,1,high_EDD,1,EDD,1,0
-1,V2C00063,4,2,2,high_EDD,3,EDD,2,2
-1,V2C00063,8,2,3,high_EDD,4,EDD,3,5
-1,V2C00063,10,-5,5,high_EDD,2,EDD,4,5
-2,V2C00071,1,-2,2,low_SPT,1,SPT,1,0
-2,V2C00071,3,-3,3,low_SPT,2,SPT,2,0
-2,V2C00071,6,3,1,low_SPT,3,SPT,3,5
-2,V2C00071,10,0,6,low_SPT,4,SPT,4,4
-1,V2C00071,1,0,1,high_SPT,1,SPT,1,0
-1,V2C00071,3,-3,3,high_SPT,2,SPT,2,0
-1,V2C00071,6,2,2,high_SPT,3,SPT,3,4
-1,V2C00071,10,0,6,high_SPT,4,SPT,4,4
-2,V2C00071,3,3,1,low_EDD,3,EDD,1,2
-2,V2C00071,4,-2,2,low_EDD,1,EDD,2,2
-2,V2C00071,6,-3,3,low_EDD,2,EDD,3,3
-2,V2C00071,10,0,6,low_EDD,4,EDD,4,4
-1,V2C00071,1,0,1,high_EDD,1,EDD,1,0
-1,V2C00071,4,2,2,high_EDD,3,EDD,2,2
-1,V2C00071,6,-3,3,high_EDD,2,EDD,3,3
-1,V2C00071,10,0,6,high_EDD,4,EDD,4,4
-2,V2C00072,1,-4,6,low_SPT,1,SPT,1,0
-2,V2C00072,3,-2,2,low_SPT,2,SPT,2,1
-2,V2C00072,6,3,1,low_SPT,3,SPT,3,5
-2,V2C00072,10,1,3,low_SPT,4,SPT,4,7
-1,V2C00072,1,-4,6,high_SPT,1,SPT,1,0
-1,V2C00072,3,1,1,high_SPT,2,SPT,2,2
-1,V2C00072,6,1,2,high_SPT,3,SPT,3,4
-1,V2C00072,10,1,3,high_SPT,4,SPT,4,7
-2,V2C00072,3,3,1,low_EDD,3,EDD,1,2
-2,V2C00072,5,-2,2,low_EDD,2,EDD,2,3
-2,V2C00072,9,1,3,low_EDD,4,EDD,3,6
-2,V2C00072,10,-4,6,low_EDD,1,EDD,4,4
-1,V2C00072,2,1,1,high_EDD,2,EDD,1,1
-1,V2C00072,5,1,2,high_EDD,3,EDD,2,3
-1,V2C00072,9,1,3,high_EDD,4,EDD,3,6
-1,V2C00072,10,-4,6,high_EDD,1,EDD,4,4
-2,V2C00077,1,-3,3,low_SPT,1,SPT,1,0
-2,V2C00077,3,-2,2,low_SPT,2,SPT,2,1
-2,V2C00077,6,3,1,low_SPT,3,SPT,3,5
-2,V2C00077,10,0,6,low_SPT,4,SPT,4,4
-1,V2C00077,1,-3,3,high_SPT,1,SPT,1,0
-1,V2C00077,3,1,1,high_SPT,2,SPT,2,2
-1,V2C00077,6,1,2,high_SPT,3,SPT,3,4
-1,V2C00077,10,0,6,high_SPT,4,SPT,4,4
-2,V2C00077,3,3,1,low_EDD,3,EDD,1,2
-2,V2C00077,5,-2,2,low_EDD,2,EDD,2,3
-2,V2C00077,6,-3,3,low_EDD,1,EDD,3,3
-2,V2C00077,10,0,6,low_EDD,4,EDD,4,4
-1,V2C00077,2,1,1,high_EDD,2,EDD,1,1
-1,V2C00077,5,1,2,high_EDD,3,EDD,2,3
-1,V2C00077,6,-3,3,high_EDD,1,EDD,3,3
-1,V2C00077,10,0,6,high_EDD,4,EDD,4,4
-1,V2C00081,1,-2,2,low_SPT,1,SPT,1,0
-1,V2C00081,3,-4,6,low_SPT,2,SPT,2,0
-1,V2C00081,6,3,1,low_SPT,3,SPT,3,5
-1,V2C00081,10,2,3,low_SPT,4,SPT,4,7
0,V2C00081,1,0,1,high_SPT,1,SPT,1,0
0,V2C00081,3,-4,6,high_SPT,2,SPT,2,0
0,V2C00081,6,2,2,high_SPT,3,SPT,3,4
0,V2C00081,10,2,3,high_SPT,4,SPT,4,7
-1,V2C00081,3,3,1,low_EDD,3,EDD,1,2
-1,V2C00081,4,-2,2,low_EDD,1,EDD,2,2
-1,V2C00081,8,2,3,low_EDD,4,EDD,3,5
-1,V2C00081,10,-4,6,low_EDD,2,EDD,4,4
0,V2C00081,1,0,1,high_EDD,1,EDD,1,0
0,V2C00081,4,2,2,high_EDD,3,EDD,2,2
0,V2C00081,8,2,3,high_EDD,4,EDD,3,5
0,V2C00081,10,-4,6,high_EDD,2,EDD,4,4
-2,V2C00090,1,-2,2,low_SPT,1,SPT,1,0
-2,V2C00090,3,-3,3,low_SPT,2,SPT,2,0
-2,V2C00090,6,3,1,low_SPT,3,SPT,3,5
-2,V2C00090,10,0,7,low_SPT,4,SPT,4,3
-1,V2C00090,1,0,1,high_SPT,1,SPT,1,0
-1,V2C00090,3,-3,3,high_SPT,2,SPT,2,0
-1,V2C00090,6,2,2,high_SPT,3,SPT,3,4
-1,V2C00090,10,0,7,high_SPT,4,SPT,4,3
-2,V2C00090,3,3,1,low_EDD,3,EDD,1,2
-2,V2C00090,4,-2,2,low_EDD,1,EDD,2,2
-2,V2C00090,6,-3,3,low_EDD,2,EDD,3,3
-2,V2C00090,10,0,7,low_EDD,4,EDD,4,3
-1,V2C00090,1,0,1,high_EDD,1,EDD,1,0
-1,V2C00090,4,2,2,high_EDD,3,EDD,2,2
-1,V2C00090,6,-3,3,high_EDD,2,EDD,3,3
-1,V2C00090,10,0,7,high_EDD,4,EDD,4,3
-1,V2C00091,1,-3,7,low_SPT,1,SPT,1,0
-1,V2C00091,3,-2,2,low_SPT,2,SPT,2,1
-1,V2C00091,6,3,1,low_SPT,3,SPT,3,5
-1,V2C00091,10,1,3,low_SPT,4,SPT,4,7
0,V2C00091,1,-3,7,high_SPT,1,SPT,1,0
0,V2C00091,3,1,1,high_SPT,2,SPT,2,2
0,V2C00091,6,1,2,high_SPT,3,SPT,3,4
0,V2C00091,10,1,3,high_SPT,4,SPT,4,7
-1,V2C00091,3,3,1,low_EDD,3,EDD,1,2
-1,V2C00091,5,-2,2,low_EDD,2,EDD,2,3
-1,V2C00091,9,1,3,low_EDD,4,EDD,3,6
-1,V2C00091,10,-3,7,low_EDD,1,EDD,4,3
0,V2C00091,2,1,1,high_EDD,2,EDD,1,1
0,V2C00091,5,1,2,high_EDD,3,EDD,2,3
0,V2C00091,9,1,3,high_EDD,4,EDD,3,6
0,V2C00091,10,-3,7,high_EDD,1,EDD,4,3
-2,V2C00094,1,-3,3,low_SPT,1,SPT,1,0
-2,V2C00094,3,-2,2,low_SPT,2,SPT,2,1
-2,V2C00094,6,3,1,low_SPT,3,SPT,3,5
-2,V2C00094,10,0,7,low_SPT,4,SPT,4,3
-1,V2C00094,1,-3,3,high_SPT,1,SPT,1,0
-1,V2C00094,3,1,1,high_SPT,2,SPT,2,2
-1,V2C00094,6,1,2,high_SPT,3,SPT,3,4
-1,V2C00094,10,0,7,high_SPT,4,SPT,4,3
-2,V2C00094,3,3,1,low_EDD,3,EDD,1,2
-2,V2C00094,5,-2,2,low_EDD,2,EDD,2,3
-2,V2C00094,6,-3,3,low_EDD,1,EDD,3,3
-2,V2C00094,10,0,7,low_EDD,4,EDD,4,3
-1,V2C00094,2,1,1,high_EDD,2,EDD,1,1
-1,V2C00094,5,1,2,high_EDD,3,EDD,2,3
-1,V2C00094,6,-3,3,high_EDD,1,EDD,3,3
-1,V2C00094,10,0,7,high_EDD,4,EDD,4,3
0,V2C00096,1,-2,2,low_SPT,1,SPT,1,0
0,V2C00096,3,-3,7,low_SPT,2,SPT,2,0
0,V2C00096,6,3,1,low_SPT,3,SPT,3,5
0,V2C00096,10,2,3,low_SPT,4,SPT,4,7
1,V2C00096,1,0,1,high_SPT,1,SPT,1,0
1,V2C00096,3,-3,7,high_SPT,2,SPT,2,0
1,V2C00096,6,2,2,high_SPT,3,SPT,3,4
1,V2C00096,10,2,3,high_SPT,4,SPT,4,7
0,V2C00096,3,3,1,low_EDD,3,EDD,1,2
0,V2C00096,4,-2,2,low_EDD,1,EDD,2,2
0,V2C00096,8,2,3,low_EDD,4,EDD,3,5
0,V2C00096,10,-3,7,low_EDD,2,EDD,4,3
1,V2C00096,1,0,1,high_EDD,1,EDD,1,0
1,V2C00096,4,2,2,high_EDD,3,EDD,2,2
1,V2C00096,8,2,3,high_EDD,4,EDD,3,5
1,V2C00096,10,-3,7,high_EDD,2,EDD,4,3
-2,V2C00105,1,-2,2,low_SPT,1,SPT,1,0
-2,V2C00105,3,-3,3,low_SPT,2,SPT,2,0
-2,V2C00105,6,3,1,low_SPT,3,SPT,3,5
-2,V2C00105,10,0,8,low_SPT,4,SPT,4,2
-1,V2C00105,1,0,1,high_SPT,1,SPT,1,0
-1,V2C00105,3,-3,3,high_SPT,2,SPT,2,0
-1,V2C00105,6,2,2,high_SPT,3,SPT,3,4
-1,V2C00105,10,0,8,high_SPT,4,SPT,4,2
-2,V2C00105,3,3,1,low_EDD,3,EDD,1,2
-2,V2C00105,4,-2,2,low_EDD,1,EDD,2,2
-2,V2C00105,6,-3,3,low_EDD,2,EDD,3,3
-2,V2C00105,10,0,8,low_EDD,4,EDD,4,2
-1,V2C00105,1,0,1,high_EDD,1,EDD,1,0
-1,V2C00105,4,2,2,high_EDD,3,EDD,2,2
-1,V2C00105,6,-3,3,high_EDD,2,EDD,3,3
-1,V2C00105,10,0,8,high_EDD,4,EDD,4,2
0,V2C00107,1,-2,8,low_SPT,1,SPT,1,0
0,V2C00107,3,-2,2,low_SPT,2,SPT,2,1
0,V2C00107,6,3,1,low_SPT,3,SPT,3,5
0,V2C00107,10,1,3,low_SPT,4,SPT,4,7
1,V2C00107,1,-2,8,high_SPT,1,SPT,1,0
1,V2C00107,3,1,1,high_SPT,2,SPT,2,2
1,V2C00107,6,1,2,high_SPT,3,SPT,3,4
1,V2C00107,10,1,3,high_SPT,4,SPT,4,7
0,V2C00107,3,3,1,low_EDD,3,EDD,1,2
0,V2C00107,5,-2,2,low_EDD,2,EDD,2,3
0,V2C00107,9,1,3,low_EDD,4,EDD,3,6
0,V2C00107,10,-2,8,low_EDD,1,EDD,4,2
1,V2C00107,2,1,1,high_EDD,2,EDD,1,1
1,V2C00107,5,1,2,high_EDD,3,EDD,2,3
1,V2C00107,9,1,3,high_EDD,4,EDD,3,6
1,V2C00107,10,-2,8,high_EDD,1,EDD,4,2
-2,V2C00111,1,-3,3,low_SPT,1,SPT,1,0
-2,V2C00111,3,-2,2,low_SPT,2,SPT,2,1
-2,V2C00111,6,3,1,low_SPT,3,SPT,3,5
-2,V2C00111,10,0,8,low_SPT,4,SPT,4,2
-1,V2C00111,1,-3,3,high_SPT,1,SPT,1,0
-1,V2C00111,3,1,1,high_SPT,2,SPT,2,2
-1,V2C00111,6,1,2,high_SPT,3,SPT,3,4
-1,V2C00111,10,0,8,high_SPT,4,SPT,4,2
-2,V2C00111,3,3,1,low_EDD,3,EDD,1,2
-2,V2C00111,5,-2,2,low_EDD,2,EDD,2,3
-2,V2C00111,6,-3,3,low_EDD,1,EDD,3,3
-2,V2C00111,10,0,8,low_EDD,4,EDD,4,2
-1,V2C00111,2,1,1,high_EDD,2,EDD,1,1
-1,V2C00111,5,1,2,high_EDD,3,EDD,2,3
-1,V2C00111,6,-3,3,high_EDD,1,EDD,3,3
-1,V2C00111,10,0,8,high_EDD,4,EDD,4,2
-2,V2C00120,1,-2,2,low_SPT,1,SPT,1,0
-2,V2C00120,3,-3,3,low_SPT,2,SPT,2,0
-2,V2C00120,6,3,1,low_SPT,3,SPT,3,5
-2,V2C00120,10,0,9,low_SPT,4,SPT,4,1
-1,V2C00120,1,0,1,high_SPT,1,SPT,1,0
-1,V2C00120,3,-3,3,high_SPT,2,SPT,2,0
-1,V2C00120,6,2,2,high_SPT,3,SPT,3,4
-1,V2C00120,10,0,9,high_SPT,4,SPT,4,1
-2,V2C00120,3,3,1,low_EDD,3,EDD,1,2
-2,V2C00120,4,-2,2,low_EDD,1,EDD,2,2
-2,V2C00120,6,-3,3,low_EDD,2,EDD,3,3
-2,V2C00120,10,0,9,low_EDD,4,EDD,4,1
-1,V2C00120,1,0,1,high_EDD,1,EDD,1,0
-1,V2C00120,4,2,2,high_EDD,3,EDD,2,2
-1,V2C00120,6,-3,3,high_EDD,2,EDD,3,3
-1,V2C00120,10,0,9,high_EDD,4,EDD,4,1
-2,V2C00126,1,-3,3,low_SPT,1,SPT,1,0
-2,V2C00126,3,-2,2,low_SPT,2,SPT,2,1
-2,V2C00126,6,3,1,low_SPT,3,SPT,3,5
-2,V2C00126,10,0,9,low_SPT,4,SPT,4,1
-1,V2C00126,1,-3,3,high_SPT,1,SPT,1,0
-1,V2C00126,3,1,1,high_SPT,2,SPT,2,2
-1,V2C00126,6,1,2,high_SPT,3,SPT,3,4
-1,V2C00126,10,0,9,high_SPT,4,SPT,4,1
-2,V2C00126,3,3,1,low_EDD,3,EDD,1,2
-2,V2C00126,5,-2,2,low_EDD,2,EDD,2,3
-2,V2C00126,6,-3,3,low_EDD,1,EDD,3,3
-2,V2C00126,10,0,9,low_EDD,4,EDD,4,1
-1,V2C00126,2,1,1,high_EDD,2,EDD,1,1
-1,V2C00126,5,1,2,high_EDD,3,EDD,2,3
-1,V2C00126,6,-3,3,high_EDD,1,EDD,3,3
-1,V2C00126,10,0,9,high_EDD,4,EDD,4,1
2,V2C00129,1,-2,2,low_SPT,1,SPT,1,0
2,V2C00129,3,-1,9,low_SPT,2,SPT,2,0
2,V2C00129,6,3,1,low_SPT,3,SPT,3,5
2,V2C00129,10,2,3,low_SPT,4,SPT,4,7
3,V2C00129,1,0,1,high_SPT,1,SPT,1,0
3,V2C00129,3,-1,9,high_SPT,2,SPT,2,0
3,V2C00129,6,2,2,high_SPT,3,SPT,3,4
3,V2C00129,10,2,3,high_SPT,4,SPT,4,7
2,V2C00129,3,3,1,low_EDD,3,EDD,1,2
2,V2C00129,4,-2,2,low_EDD,1,EDD,2,2
2,V2C00129,8,2,3,low_EDD,4,EDD,3,5
2,V2C00129,10,-1,9,low_EDD,2,EDD,4,1
3,V2C00129,1,0,1,high_EDD,1,EDD,1,0
3,V2C00129,4,2,2,high_EDD,3,EDD,2,2
3,V2C00129,8,2,3,high_EDD,4,EDD,3,5
3,V2C00129,10,-1,9,high_EDD,2,EDD,4,1
-1,V2C00138,1,-2,4,low_SPT,1,SPT,1,0
-1,V2C00138,3,-2,2,low_SPT,2,SPT,2,1
-1,V2C00138,6,3,1,low_SPT,3,SPT,3,5
-1,V2C00138,10,0,5,low_SPT,4,SPT,4,5
0,V2C00138,1,-2,4,high_SPT,1,SPT,1,0
0,V2C00138,3,1,1,high_SPT,2,SPT,2,2
0,V2C00138,6,1,2,high_SPT,3,SPT,3,4
0,V2C00138,10,0,5,high_SPT,4,SPT,4,5
-1,V2C00138,3,3,1,low_EDD,3,EDD,1,2
-1,V2C00138,5,-2,2,low_EDD,2,EDD,2,3
-1,V2C00138,6,-2,4,low_EDD,1,EDD,3,2
-1,V2C00138,10,0,5,low_EDD,4,EDD,4,5
0,V2C00138,2,1,1,high_EDD,2,EDD,1,1
0,V2C00138,5,1,2,high_EDD,3,EDD,2,3
0,V2C00138,6,-2,4,high_EDD,1,EDD,3,2
0,V2C00138,10,0,5,high_EDD,4,EDD,4,5
-2,V2C00141,1,-2,2,low_SPT,1,SPT,1,0
-2,V2C00141,3,-5,5,low_SPT,2,SPT,2,0
-2,V2C00141,6,3,1,low_SPT,3,SPT,3,5
-2,V2C00141,10,2,4,low_SPT,4,SPT,4,6
-1,V2C00141,1,0,1,high_SPT,1,SPT,1,0
-1,V2C00141,3,-5,5,high_SPT,2,SPT,2,0
-1,V2C00141,6,2,2,high_SPT,3,SPT,3,4
-1,V2C00141,10,2,4,high_SPT,4,SPT,4,6
-2,V2C00141,3,3,1,low_EDD,3,EDD,1,2
-2,V2C00141,4,-2,2,low_EDD,1,EDD,2,2
-2,V2C00141,8,2,4,low_EDD,4,EDD,3,4
-2,V2C00141,10,-5,5,low_EDD,2,EDD,4,5
-1,V2C00141,1,0,1,high_EDD,1,EDD,1,0
-1,V2C00141,4,2,2,high_EDD,3,EDD,2,2
-1,V2C00141,8,2,4,high_EDD,4,EDD,3,4
-1,V2C00141,10,-5,5,high_EDD,2,EDD,4,5
-2,V2C00151,1,-4,6,low_SPT,1,SPT,1,0
-2,V2C00151,3,-2,2,low_SPT,2,SPT,2,1
-2,V2C00151,6,3,1,low_SPT,3,SPT,3,5
-2,V2C00151,10,1,4,low_SPT,4,SPT,4,6
-1,V2C00151,1,-4,6,high_SPT,1,SPT,1,0
-1,V2C00151,3,1,1,high_SPT,2,SPT,2,2
-1,V2C00151,6,1,2,high_SPT,3,SPT,3,4
-1,V2C00151,10,1,4,high_SPT,4,SPT,4,6
-2,V2C00151,3,3,1,low_EDD,3,EDD,1,2
-2,V2C00151,5,-2,2,low_EDD,2,EDD,2,3
-2,V2C00151,9,1,4,low_EDD,4,EDD,3,5
-2,V2C00151,10,-4,6,low_EDD,1,EDD,4,4
-1,V2C00151,2,1,1,high_EDD,2,EDD,1,1
-1,V2C00151,5,1,2,high_EDD,3,EDD,2,3
-1,V2C00151,9,1,4,high_EDD,4,EDD,3,5
-1,V2C00151,10,-4,6,high_EDD,1,EDD,4,4
-1,V2C00155,1,-2,4,low_SPT,1,SPT,1,0
-1,V2C00155,3,-2,2,low_SPT,2,SPT,2,1
-1,V2C00155,6,3,1,low_SPT,3,SPT,3,5
-1,V2C00155,10,0,6,low_SPT,4,SPT,4,4
0,V2C00155,1,-2,4,high_SPT,1,SPT,1,0
0,V2C00155,3,1,1,high_SPT,2,SPT,2,2
0,V2C00155,6,1,2,high_SPT,3,SPT,3,4
0,V2C00155,10,0,6,high_SPT,4,SPT,4,4
-1,V2C00155,3,3,1,low_EDD,3,EDD,1,2
-1,V2C00155,5,-2,2,low_EDD,2,EDD,2,3
-1,V2C00155,6,-2,4,low_EDD,1,EDD,3,2
-1,V2C00155,10,0,6,low_EDD,4,EDD,4,4
0,V2C00155,2,1,1,high_EDD,2,EDD,1,1
0,V2C00155,5,1,2,high_EDD,3,EDD,2,3
0,V2C00155,6,-2,4,high_EDD,1,EDD,3,2
0,V2C00155,10,0,6,high_EDD,4,EDD,4,4
-1,V2C00158,1,-2,2,low_SPT,1,SPT,1,0
-1,V2C00158,3,-4,6,low_SPT,2,SPT,2,0
-1,V2C00158,6,3,1,low_SPT,3,SPT,3,5
-1,V2C00158,10,2,4,low_SPT,4,SPT,4,6
0,V2C00158,1,0,1,high_SPT,1,SPT,1,0
0,V2C00158,3,-4,6,high_SPT,2,SPT,2,0
0,V2C00158,6,2,2,high_SPT,3,SPT,3,4
0,V2C00158,10,2,4,high_SPT,4,SPT,4,6
-1,V2C00158,3,3,1,low_EDD,3,EDD,1,2
-1,V2C00158,4,-2,2,low_EDD,1,EDD,2,2
-1,V2C00158,8,2,4,low_EDD,4,EDD,3,4
-1,V2C00158,10,-4,6,low_EDD,2,EDD,4,4
0,V2C00158,1,0,1,high_EDD,1,EDD,1,0
0,V2C00158,4,2,2,high_EDD,3,EDD,2,2
0,V2C00158,8,2,4,high_EDD,4,EDD,3,4
0,V2C00158,10,-4,6,high_EDD,2,EDD,4,4
-1,V2C00169,1,-3,7,low_SPT,1,SPT,1,0
-1,V2C00169,3,-2,2,low_SPT,2,SPT,2,1
-1,V2C00169,6,3,1,low_SPT,3,SPT,3,5
-1,V2C00169,10,1,4,low_SPT,4,SPT,4,6
0,V2C00169,1,-3,7,high_SPT,1,SPT,1,0
0,V2C00169,3,1,1,high_SPT,2,SPT,2,2
0,V2C00169,6,1,2,high_SPT,3,SPT,3,4
0,V2C00169,10,1,4,high_SPT,4,SPT,4,6
-1,V2C00169,3,3,1,low_EDD,3,EDD,1,2
-1,V2C00169,5,-2,2,low_EDD,2,EDD,2,3
-1,V2C00169,9,1,4,low_EDD,4,EDD,3,5
-1,V2C00169,10,-3,7,low_EDD,1,EDD,4,3
0,V2C00169,2,1,1,high_EDD,2,EDD,1,1
0,V2C00169,5,1,2,high_EDD,3,EDD,2,3
0,V2C00169,9,1,4,high_EDD,4,EDD,3,5
0,V2C00169,10,-3,7,high_EDD,1,EDD,4,3
-1,V2C00171,1,-2,4,low_SPT,1,SPT,1,0
-1,V2C00171,3,-2,2,low_SPT,2,SPT,2,1
-1,V2C00171,6,3,1,low_SPT,3,SPT,3,5
-1,V2C00171,10,0,7,low_SPT,4,SPT,4,3
0,V2C00171,1,-2,4,high_SPT,1,SPT,1,0
0,V2C00171,3,1,1,high_SPT,2,SPT,2,2
0,V2C00171,6,1,2,high_SPT,3,SPT,3,4
0,V2C00171,10,0,7,high_SPT,4,SPT,4,3
-1,V2C00171,3,3,1,low_EDD,3,EDD,1,2
-1,V2C00171,5,-2,2,low_EDD,2,EDD,2,3
-1,V2C00171,6,-2,4,low_EDD,1,EDD,3,2
-1,V2C00171,10,0,7,low_EDD,4,EDD,4,3
0,V2C00171,2,1,1,high_EDD,2,EDD,1,1
0,V2C00171,5,1,2,high_EDD,3,EDD,2,3
0,V2C00171,6,-2,4,high_EDD,1,EDD,3,2
0,V2C00171,10,0,7,high_EDD,4,EDD,4,3
0,V2C00172,1,-2,2,low_SPT,1,SPT,1,0
0,V2C00172,3,-3,7,low_SPT,2,SPT,2,0
0,V2C00172,6,3,1,low_SPT,3,SPT,3,5
0,V2C00172,10,2,4,low_SPT,4,SPT,4,6
1,V2C00172,1,0,1,high_SPT,1,SPT,1,0
1,V2C00172,3,-3,7,high_SPT,2,SPT,2,0
1,V2C00172,6,2,2,high_SPT,3,SPT,3,4
1,V2C00172,10,2,4,high_SPT,4,SPT,4,6
0,V2C00172,3,3,1,low_EDD,3,EDD,1,2
0,V2C00172,4,-2,2,low_EDD,1,EDD,2,2
0,V2C00172,8,2,4,low_EDD,4,EDD,3,4
0,V2C00172,10,-3,7,low_EDD,2,EDD,4,3
1,V2C00172,1,0,1,high_EDD,1,EDD,1,0
1,V2C00172,4,2,2,high_EDD,3,EDD,2,2
1,V2C00172,8,2,4,high_EDD,4,EDD,3,4
