"EDD_prefix_t","I_forward","I_reverse","SPT_C_a","SPT_C_b","a_p_rank","b_p_rank","class_id","d_H","d_L","observed_delta_difference","panel","predicted_delta_difference","prediction_category","prediction_magnitude","prediction_matches"
"0","B_o001_r00380","B_o001_r00404","1","7","1","3","WP09C00249","3","1","1","B","1","positive","1","True"
"2","B_o001_r00433","B_o001_r00435","7","14","3","4","WP09C00254","5","3","3","B","3","positive","3","True"
"0","B_o001_r00433","B_o001_r00439","3","7","2","3","WP09C00254","3","1","2","B","2","positive","2","True"
"0","B_o001_r00435","B_o001_r00441","3","14","2","4","WP09C00254","3","1","5","B","5","positive","5","True"
"0","B_o001_r00445","B_o001_r00447","7","14","3","4","WP09C00256","3","1","3","B","3","positive","3","True"
"2","B_o001_r00386","B_o001_r00410","1","7","1","3","WP09C00257","5","3","1","B","1","positive","1","True"
"0","B_o001_r00427","B_o001_r00429","7","14","3","4","WP09C00262","3","1","3","B","3","positive","3","True"
"1","B_o001_r00363","B_o001_r00369","3","14","2","4","WP09C00271","5","3","3","B","3","positive","3","True"
"0","B_o001_r00369","B_o001_r00393","1","14","1","4","WP09C00271","3","1","4","B","4","positive","4","True"
"0","B_o002_r00571","B_o002_r00573","7","14","3","4","WP09C00273","3","1","3","B","3","positive","3","True"
"0","B_o002_r00554","B_o002_r00560","3","7","2","3","WP09C00275","3","1","2","B","2","positive","2","True"
"1","B_o002_r00485","B_o002_r00491","3","14","2","4","WP09C00278","5","3","3","B","3","positive","3","True"
"0","B_o002_r00491","B_o002_r00515","1","14","1","4","WP09C00278","3","1","4","B","4","positive","4","True"
"0","B_o002_r00589","B_o002_r00591","7","14","3","4","WP09C00280","3","1","3","B","3","positive","3","True"
"1","B_o002_r00499","B_o002_r00501","7","14","3","4","WP09C00283","5","3","3","B","3","positive","3","True"
"0","B_o002_r00499","B_o002_r00523","1","7","1","3","WP09C00283","3","1","1","B","1","positive","1","True"
"0","B_o002_r00501","B_o002_r00525","1","14","1","4","WP09C00283","3","1","4","B","4","positive","4","True"
"0","B_o002_r00578","B_o002_r00584","3","7","2","3","WP09C00286","3","1","2","B","2","positive","2","True"
"1","B_o002_r00493","B_o002_r00495","7","14","3","4","WP09C00287","5","3","3","B","3","positive","3","True"
"0","B_o002_r00493","B_o002_r00517","1","7","1","3","WP09C00287","3","1","1","B","1","positive","1","True"
"0","B_o002_r00495","B_o002_r00519","1","14","1","4","WP09C00287","3","1","4","B","4","positive","4","True"
"0","B_o002_r00494","B_o002_r00518","1","7","1","3","WP09C00289","3","1","1","B","1","positive","1","True"
"0","B_o002_r00541","B_o002_r00543","7","14","3","4","WP09C00291","3","1","3","B","3","positive","3","True"
"3","B_o002_r00505","B_o002_r00507","7","14","3","4","WP09C00293","7","5","3","B","3","positive","3","True"
"2","B_o002_r00505","B_o002_r00529","1","7","1","3","WP09C00293","5","3","1","B","1","positive","1","True"
"2","B_o002_r00507","B_o002_r00531","1","14","1","4","WP09C00293","5","3","4","B","4","positive","4","True"
"2","B_o002_r00577","B_o002_r00579","7","14","3","4","WP09C00295","5","3","3","B","3","positive","3","True"
"0","B_o002_r00577","B_o002_r00583","3","7","2","3","WP09C00295","3","1","2","B","2","positive","2","True"
"0","B_o002_r00579","B_o002_r00585","3","14","2","4","WP09C00295","3","1","5","B","5","positive","5","True"
"0","B_o002_r00497","B_o002_r00521","1","14","1","4","WP09C00299","3","1","4","B","4","positive","4","True"
"0","B_o002_r00500","B_o002_r00524","1","7","1","3","WP09C00300","3","1","1","B","1","positive","1","True"
"2","B_o002_r00553","B_o002_r00555","7","14","3","4","WP09C00307","5","3","3","B","3","positive","3","True"
"0","B_o002_r00553","B_o002_r00559","3","7","2","3","WP09C00307","3","1","2","B","2","positive","2","True"
"0","B_o002_r00555","B_o002_r00561","3","14","2","4","WP09C00307","3","1","5","B","5","positive","5","True"
"0","B_o002_r00565","B_o002_r00567","7","14","3","4","WP09C00309","3","1","3","B","3","positive","3","True"
"2","B_o002_r00506","B_o002_r00530","1","7","1","3","WP09C00310","5","3","1","B","1","positive","1","True"
"0","B_o002_r00547","B_o002_r00549","7","14","3","4","WP09C00315","3","1","3","B","3","positive","3","True"
"2","B_o002_r00509","B_o002_r00533","1","14","1","4","WP09C00321","5","3","4","B","4","positive","4","True"
"1","B_o002_r00483","B_o002_r00489","3","14","2","4","WP09C00326","5","3","3","B","3","positive","3","True"
"0","B_o002_r00489","B_o002_r00513","1","14","1","4","WP09C00326","3","1","4","B","4","positive","4","True"
"0","B_o003_r00667","B_o003_r00669","7","14","3","4","WP09C00328","3","1","3","B","3","positive","3","True"
"0","B_o003_r00674","B_o003_r00680","3","7","2","3","WP09C00331","3","1","2","B","2","positive","2","True"
"1","B_o003_r00605","B_o003_r00611","3","14","2","4","WP09C00333","5","3","3","B","3","positive","3","True"
"0","B_o003_r00611","B_o003_r00635","1","14","1","4","WP09C00333","3","1","4","B","4","positive","4","True"
"1","B_o003_r00613","B_o003_r00615","7","14","3","4","WP09C00342","5","3","3","B","3","positive","3","True"
"0","B_o003_r00613","B_o003_r00637","1","7","1","3","WP09C00342","3","1","1","B","1","positive","1","True"
"0","B_o003_r00615","B_o003_r00639","1","14","1","4","WP09C00342","3","1","4","B","4","positive","4","True"
"0","B_o003_r00614","B_o003_r00638","1","7","1","3","WP09C00344","3","1","1","B","1","positive","1","True"
"0","B_o003_r00661","B_o003_r00663","7","14","3","4","WP09C00347","3","1","3","B","3","positive","3","True"
"3","B_o003_r00625","B_o003_r00627","7","14","3","4","WP09C00348","7","5","3","B","3","positive","3","True"
"2","B_o003_r00625","B_o003_r00649","1","7","1","3","WP09C00348","5","3","1","B","1","positive","1","True"
"2","B_o003_r00627","B_o003_r00651","1","14","1","4","WP09C00348","5","3","4","B","4","positive","4","True"
"0","B_o003_r00691","B_o003_r00693","7","14","3","4","WP09C00351","3","1","3","B","3","positive","3","True"
"0","B_o003_r00620","B_o003_r00644","1","7","1","3","WP09C00354","3","1","1","B","1","positive","1","True"
"0","B_o003_r00617","B_o003_r00641","1","14","1","4","WP09C00356","3","1","4","B","4","positive","4","True"
"1","B_o003_r00619","B_o003_r00621","7","14","3","4","WP09C00363","5","3","3","B","3","positive","3","True"
"0","B_o003_r00619","B_o003_r00643","1","7","1","3","WP09C00363","3","1","1","B","1","positive","1","True"
"0","B_o003_r00621","B_o003_r00645","1","14","1","4","WP09C00363","3","1","4","B","4","positive","4","True"
"0","B_o003_r00623","B_o003_r00647","1","14","1","4","WP09C00365","3","1","4","B","4","positive","4","True"
"2","B_o003_r00673","B_o003_r00675","7","14","3","4","WP09C00366","5","3","3","B","3","positive","3","True"
"0","B_o003_r00673","B_o003_r00679","3","7","2","3","WP09C00366","3","1","2","B","2","positive","2","True"
"0","B_o003_r00675","B_o003_r00681","3","14","2","4","WP09C00366","3","1","5","B","5","positive","5","True"
"0","B_o003_r00685","B_o003_r00687","7","14","3","4","WP09C00367","3","1","3","B","3","positive","3","True"
"2","B_o003_r00626","B_o003_r00650","1","7","1","3","WP09C00368","5","3","1","B","1","positive","1","True"
"2","B_o003_r00629","B_o003_r00653","1","14","1","4","WP09C00374","5","3","4","B","4","positive","4","True"
"1","B_o003_r00603","B_o003_r00609","3","14","2","4","WP09C00379","5","3","3","B","3","positive","3","True"
"0","B_o003_r00609","B_o003_r00633","1","14","1","4","WP09C00379","3","1","4","B","4","positive","4","True"
"0","B_o004_r00787","B_o004_r00789","7","14","3","4","WP09C00382","3","1","3","B","3","positive","3","True"
"0","B_o004_r00829","B_o004_r00831","7","14","3","4","WP09C00384","3","1","3","B","3","positive","3","True"
"0","B_o004_r00794","B_o004_r00800","3","7","2","3","WP09C00386","3","1","2","B","2","positive","2","True"
"1","B_o004_r00725","B_o004_r00731","3","14","2","4","WP09C00391","5","3","3","B","3","positive","3","True"
"0","B_o004_r00731","B_o004_r00755","1","14","1","4","WP09C00391","3","1","4","B","4","positive","4","True"
"0","B_o004_r00835","B_o004_r00837","7","14","3","4","WP09C00392","3","1","3","B","3","positive","3","True"
"0","B_o004_r00821","B_o004_r00827","3","14","2","4","WP09C00395","3","1","5","B","5","positive","5","True"
"1","B_o004_r00733","B_o004_r00735","7","14","3","4","WP09C00403","5","3","3","B","3","positive","3","True"
"0","B_o004_r00733","B_o004_r00757","1","7","1","3","WP09C00403","3","1","1","B","1","positive","1","True"
"0","B_o004_r00735","B_o004_r00759","1","14","1","4","WP09C00403","3","1","4","B","4","positive","4","True"
"0","B_o004_r00734","B_o004_r00758","1","7","1","3","WP09C00406","3","1","1","B","1","positive","1","True"
"0","B_o004_r00781","B_o004_r00783","7","14","3","4","WP09C00410","3","1","3","B","3","positive","3","True"
"2","B_o004_r00747","B_o004_r00771","1","14","1","4","WP09C00412","5","3","4","B","4","positive","4","True"
"0","B_o004_r00811","B_o004_r00813","7","14","3","4","WP09C00415","3","1","3","B","3","positive","3","True"
"0","B_o004_r00740","B_o004_r00764","1","7","1","3","WP09C00419","3","1","1","B","1","positive","1","True"
"0","B_o004_r00737","B_o004_r00761","1","14","1","4","WP09C00422","3","1","4","B","4","positive","4","True"
"1","B_o004_r00739","B_o004_r00741","7","14","3","4","WP09C00429","5","3","3","B","3","positive","3","True"
"0","B_o004_r00739","B_o004_r00763","1","7","1","3","WP09C00429","3","1","1","B","1","positive","1","True"
"0","B_o004_r00741","B_o004_r00765","1","14","1","4","WP09C00429","3","1","4","B","4","positive","4","True"
"0","B_o004_r00743","B_o004_r00767","1","14","1","4","WP09C00431","3","1","4","B","4","positive","4","True"
"2","B_o004_r00793","B_o004_r00795","7","14","3","4","WP09C00432","5","3","3","B","3","positive","3","True"
"0","B_o004_r00793","B_o004_r00799","3","7","2","3","WP09C00432","3","1","2","B","2","positive","2","True"
"0","B_o004_r00795","B_o004_r00801","3","14","2","4","WP09C00432","3","1","5","B","5","positive","5","True"
"0","B_o004_r00805","B_o004_r00807","7","14","3","4","WP09C00433","3","1","3","B","3","positive","3","True"
"2","B_o004_r00746","B_o004_r00770","1","7","1","3","WP09C00434","5","3","1","B","1","positive","1","True"
"2","B_o004_r00749","B_o004_r00773","1","14","1","4","WP09C00442","5","3","4","B","4","positive","4","True"
"2","B_o004_r00817","B_o004_r00819","7","14","3","4","WP09C00443","5","3","3","B","3","positive","3","True"
"0","B_o004_r00817","B_o004_r00823","3","7","2","3","WP09C00443","3","1","2","B","2","positive","2","True"
"0","B_o004_r00819","B_o004_r00825","3","14","2","4","WP09C00443","3","1","5","B","5","positive","5","True"
"0","B_o004_r00818","B_o004_r00824","3","7","2","3","WP09C00446","3","1","2","B","2","positive","2","True"
"1","B_o004_r00723","B_o004_r00729","3","14","2","4","WP09C00450","5","3","3","B","3","positive","3","True"
"0","B_o004_r00729","B_o004_r00753","1","14","1","4","WP09C00450","3","1","4","B","4","positive","4","True"
"0","B_o005_r00907","B_o005_r00909","7","14","3","4","WP09C00453","3","1","3","B","3","positive","3","True"
"0","B_o005_r00949","B_o005_r00951","7","14","3","4","WP09C00455","3","1","3","B","3","positive","3","True"
"0","B_o005_r00914","B_o005_r00920","3","7","2","3","WP09C00457","3","1","2","B","2","positive","2","True"
"1","B_o005_r00845","B_o005_r00851","3","14","2","4","WP09C00462","5","3","3","B","3","positive","3","True"
"0","B_o005_r00851","B_o005_r00875","1","14","1","4","WP09C00462","3","1","4","B","4","positive","4","True"
"0","B_o005_r00955","B_o005_r00957","7","14","3","4","WP09C00463","3","1","3","B","3","positive","3","True"
"0","B_o005_r00941","B_o005_r00947","3","14","2","4","WP09C00466","3","1","5","B","5","positive","5","True"
"1","B_o005_r00853","B_o005_r00855","7","14","3","4","WP09C00474","5","3","3","B","3","positive","3","True"
"0","B_o005_r00853","B_o005_r00877","1","7","1","3","WP09C00474","3","1","1","B","1","positive","1","True"
"0","B_o005_r00855","B_o005_r00879","1","14","1","4","WP09C00474","3","1","4","B","4","positive","4","True"
"0","B_o005_r00854","B_o005_r00878","1","7","1","3","WP09C00477","3","1","1","B","1","positive","1","True"
"0","B_o005_r00901","B_o005_r00903","7","14","3","4","WP09C00481","3","1","3","B","3","positive","3","True"
"2","B_o005_r00867","B_o005_r00891","1","14","1","4","WP09C00483","5","3","4","B","4","positive","4","True"
"0","B_o005_r00931","B_o005_r00933","7","14","3","4","WP09C00486","3","1","3","B","3","positive","3","True"
"0","B_o005_r00860","B_o005_r00884","1","7","1","3","WP09C00490","3","1","1","B","1","positive","1","True"
"0","B_o005_r00857","B_o005_r00881","1","14","1","4","WP09C00493","3","1","4","B","4","positive","4","True"
"1","B_o005_r00859","B_o005_r00861","7","14","3","4","WP09C00500","5","3","3","B","3","positive","3","True"
"0","B_o005_r00859","B_o005_r00883","1","7","1","3","WP09C00500","3","1","1","B","1","positive","1","True"
"0","B_o005_r00861","B_o005_r00885","1","14","1","4","WP09C00500","3","1","4","B","4","positive","4","True"
"0","B_o005_r00863","B_o005_r00887","1","14","1","4","WP09C00502","3","1","4","B","4","positive","4","True"
"2","B_o005_r00913","B_o005_r00915","7","14","3","4","WP09C00503","5","3","3","B","3","positive","3","True"
"0","B_o005_r00913","B_o005_r00919","3","7","2","3","WP09C00503","3","1","2","B","2","positive","2","True"
"0","B_o005_r00915","B_o005_r00921","3","14","2","4","WP09C00503","3","1","5","B","5","positive","5","True"
"0","B_o005_r00925","B_o005_r00927","7","14","3","4","WP09C00504","3","1","3","B","3","positive","3","True"
"2","B_o005_r00866","B_o005_r00890","1","7","1","3","WP09C00505","5","3","1","B","1","positive","1","True"
"2","B_o005_r00869","B_o005_r00893","1","14","1","4","WP09C00513","5","3","4","B","4","positive","4","True"
"2","B_o005_r00937","B_o005_r00939","7","14","3","4","WP09C00514","5","3","3","B","3","positive","3","True"
"0","B_o005_r00937","B_o005_r00943","3","7","2","3","WP09C00514","3","1","2","B","2","positive","2","True"
"0","B_o005_r00939","B_o005_r00945","3","14","2","4","WP09C00514","3","1","5","B","5","positive","5","True"
"0","B_o005_r00938","B_o005_r00944","3","7","2","3","WP09C00517","3","1","2","B","2","positive","2","True"
"1","B_o005_r00843","B_o005_r00849","3","14","2","4","WP09C00521","5","3","3","B","3","positive","3","True"
"0","B_o005_r00849","B_o005_r00873","1","14","1","4","WP09C00521","3","1","4","B","4","positive","4","True"
"0","B_o006_r01051","B_o006_r01053","7","14","3","4","WP09C00522","3","1","3","B","3","positive","3","True"
"0","B_o006_r01034","B_o006_r01040","3","7","2","3","WP09C00523","3","1","2","B","2","positive","2","True"
"1","B_o006_r00965","B_o006_r00971","3","14","2","4","WP09C00526","5","3","3","B","3","positive","3","True"
"0","B_o006_r00971","B_o006_r00995","1","14","1","4","WP09C00526","3","1","4","B","4","positive","4","True"
"0","B_o006_r01069","B_o006_r01071","7","14","3","4","WP09C00528","3","1","3","B","3","positive","3","True"
"1","B_o006_r00979","B_o006_r00981","7","14","3","4","WP09C00531","5","3","3","B","3","positive","3","True"
"0","B_o006_r00979","B_o006_r01003","1","7","1","3","WP09C00531","3","1","1","B","1","positive","1","True"
"0","B_o006_r00981","B_o006_r01005","1","14","1","4","WP09C00531","3","1","4","B","4","positive","4","True"
"0","B_o006_r01058","B_o006_r01064","3","7","2","3","WP09C00533","3","1","2","B","2","positive","2","True"
"1","B_o006_r00973","B_o006_r00975","7","14","3","4","WP09C00534","5","3","3","B","3","positive","3","True"
"0","B_o006_r00973","B_o006_r00997","1","7","1","3","WP09C00534","3","1","1","B","1","positive","1","True"
"0","B_o006_r00975","B_o006_r00999","1","14","1","4","WP09C00534","3","1","4","B","4","positive","4","True"
"0","B_o006_r00974","B_o006_r00998","1","7","1","3","WP09C00536","3","1","1","B","1","positive","1","True"
"1","B_o006_r00963","B_o006_r00969","3","14","2","4","WP09C00537","5","3","3","B","3","positive","3","True"
"0","B_o006_r00969","B_o006_r00993","1","14","1","4","WP09C00537","3","1","4","B","4","positive","4","True"
"0","B_o006_r01021","B_o006_r01023","7","14","3","4","WP09C00539","3","1","3","B","3","positive","3","True"
"3","B_o006_r00985","B_o006_r00987","7","14","3","4","WP09C00541","9","5","1","B","1","positive","1","True"
"2","B_o006_r00985","B_o006_r01009","1","7","1","3","WP09C00541","5","3","1","B","1","positive","1","True"
"2","B_o006_r00987","B_o006_r01011","1","14","1","4","WP09C00541","5","3","4","B","4","positive","4","True"
"2","B_o006_r01057","B_o006_r01059","7","14","3","4","WP09C00543","5","3","3","B","3","positive","3","True"
"0","B_o006_r01057","B_o006_r01063","3","7","2","3","WP09C00543","3","1","2","B","2","positive","2","True"
"0","B_o006_r01059","B_o006_r01065","3","14","2","4","WP09C00543","3","1","5","B","5","positive","5","True"
"0","B_o006_r00980","B_o006_r01004","1","7","1","3","WP09C00550","3","1","1","B","1","positive","1","True"
"0","B_o006_r00977","B_o006_r01001","1","14","1","4","WP09C00555","3","1","4","B","4","positive","4","True"
"2","B_o006_r01033","B_o006_r01035","7","14","3","4","WP09C00560","5","3","3","B","3","positive","3","True"
"0","B_o006_r01033","B_o006_r01039","3","7","2","3","WP09C00560","3","1","2","B","2","positive","2","True"
"0","B_o006_r01035","B_o006_r01041","3","14","2","4","WP09C00560","3","1","5","B","5","positive","5","True"
"0","B_o006_r01045","B_o006_r01047","7","14","3","4","WP09C00563","3","1","3","B","3","positive","3","True"
"2","B_o006_r00986","B_o006_r01010","1","7","1","3","WP09C00564","5","3","1","B","1","positive","1","True"
"0","B_o006_r00983","B_o006_r01007","1","14","1","4","WP09C00565","3","1","4","B","4","positive","4","True"
"0","B_o006_r01027","B_o006_r01029","7","14","3","4","WP09C00569","3","1","3","B","3","positive","3","True"
"2","B_o006_r00989","B_o006_r01013","1","14","1","4","WP09C00575","5","3","4","B","4","positive","4","True"
"0","B_o007_r01147","B_o007_r01149","7","14","3","4","WP09C00580","3","1","3","B","3","positive","3","True"
"0","B_o007_r01154","B_o007_r01160","3","7","2","3","WP09C00581","3","1","2","B","2","positive","2","True"
"1","B_o007_r01085","B_o007_r01091","3","14","2","4","WP09C00583","5","3","3","B","3","positive","3","True"
"0","B_o007_r01091","B_o007_r01115","1","14","1","4","WP09C00583","3","1","4","B","4","positive","4","True"
"1","B_o007_r01093","B_o007_r01095","7","14","3","4","WP09C00590","5","3","3","B","3","positive","3","True"
"0","B_o007_r01093","B_o007_r01117","1","7","1","3","WP09C00590","3","1","1","B","1","positive","1","True"
"0","B_o007_r01095","B_o007_r01119","1","14","1","4","WP09C00590","3","1","4","B","4","positive","4","True"
"0","B_o007_r01094","B_o007_r01118","1","7","1","3","WP09C00592","3","1","1","B","1","positive","1","True"
"1","B_o007_r01083","B_o007_r01089","3","14","2","4","WP09C00593","5","3","3","B","3","positive","3","True"
"0","B_o007_r01089","B_o007_r01113","1","14","1","4","WP09C00593","3","1","4","B","4","positive","4","True"
"0","B_o007_r01141","B_o007_r01143","7","14","3","4","WP09C00595","3","1","3","B","3","positive","3","True"
"3","B_o007_r01105","B_o007_r01107","7","14","3","4","WP09C00596","9","5","1","B","1","positive","1","True"
"2","B_o007_r01105","B_o007_r01129","1","7","1","3","WP09C00596","5","3","1","B","1","positive","1","True"
"2","B_o007_r01107","B_o007_r01131","1","14","1","4","WP09C00596","5","3","4","B","4","positive","4","True"
"0","B_o007_r01171","B_o007_r01173","7","14","3","4","WP09C00600","3","1","3","B","3","positive","3","True"
"0","B_o007_r01103","B_o007_r01127","1","14","1","4","WP09C00603","3","1","4","B","4","positive","4","True"
"0","B_o007_r01100","B_o007_r01124","1","7","1","3","WP09C00605","3","1","1","B","1","positive","1","True"
"0","B_o007_r01097","B_o007_r01121","1","14","1","4","WP09C00611","3","1","4","B","4","positive","4","True"
"1","B_o007_r01099","B_o007_r01101","7","14","3","4","WP09C00615","5","3","3","B","3","positive","3","True"
"0","B_o007_r01099","B_o007_r01123","1","7","1","3","WP09C00615","3","1","1","B","1","positive","1","True"
"0","B_o007_r01101","B_o007_r01125","1","14","1","4","WP09C00615","3","1","4","B","4","positive","4","True"
"2","B_o007_r01153","B_o007_r01155","7","14","3","4","WP09C00617","5","3","3","B","3","positive","3","True"
"0","B_o007_r01153","B_o007_r01159","3","7","2","3","WP09C00617","3","1","2","B","2","positive","2","True"
"0","B_o007_r01155","B_o007_r01161","3","14","2","4","WP09C00617","3","1","5","B","5","positive","5","True"
"0","B_o007_r01165","B_o007_r01167","7","14","3","4","WP09C00618","3","1","3","B","3","positive","3","True"
"2","B_o007_r01106","B_o007_r01130","1","7","1","3","WP09C00619","5","3","1","B","1","positive","1","True"
"2","B_o007_r01109","B_o007_r01133","1","14","1","4","WP09C00624","5","3","4","B","4","positive","4","True"
"0","B_o008_r01267","B_o008_r01269","7","14","3","4","WP09C00632","3","1","3","B","3","positive","3","True"
"0","B_o008_r01309","B_o008_r01311","7","14","3","4","WP09C00633","3","1","3","B","3","positive","3","True"
"0","B_o008_r01274","B_o008_r01280","3","7","2","3","WP09C00634","3","1","2","B","2","positive","2","True"
"1","B_o008_r01205","B_o008_r01211","3","14","2","4","WP09C00638","5","3","3","B","3","positive","3","True"
"0","B_o008_r01211","B_o008_r01235","1","14","1","4","WP09C00638","3","1","4","B","4","positive","4","True"
"0","B_o008_r01315","B_o008_r01317","7","14","3","4","WP09C00639","3","1","3","B","3","positive","3","True"
"1","B_o008_r01213","B_o008_r01215","7","14","3","4","WP09C00646","5","3","3","B","3","positive","3","True"
"0","B_o008_r01213","B_o008_r01237","1","7","1","3","WP09C00646","3","1","1","B","1","positive","1","True"
"0","B_o008_r01215","B_o008_r01239","1","14","1","4","WP09C00646","3","1","4","B","4","positive","4","True"
"0","B_o008_r01214","B_o008_r01238","1","7","1","3","WP09C00648","3","1","1","B","1","positive","1","True"
"1","B_o008_r01203","B_o008_r01209","3","14","2","4","WP09C00649","5","3","3","B","3","positive","3","True"
"0","B_o008_r01209","B_o008_r01233","1","14","1","4","WP09C00649","3","1","4","B","4","positive","4","True"
"0","B_o008_r01261","B_o008_r01263","7","14","3","4","WP09C00652","3","1","3","B","3","positive","3","True"
"2","B_o008_r01227","B_o008_r01251","1","14","1","4","WP09C00654","5","3","4","B","4","positive","4","True"
"0","B_o008_r01291","B_o008_r01293","7","14","3","4","WP09C00658","3","1","3","B","3","positive","3","True"
"0","B_o008_r01223","B_o008_r01247","1","14","1","4","WP09C00662","3","1","4","B","4","positive","4","True"
"0","B_o008_r01220","B_o008_r01244","1","7","1","3","WP09C00664","3","1","1","B","1","positive","1","True"
"0","B_o008_r01217","B_o008_r01241","1","14","1","4","WP09C00670","3","1","4","B","4","positive","4","True"
"1","B_o008_r01219","B_o008_r01221","7","14","3","4","WP09C00674","5","3","3","B","3","positive","3","True"
"0","B_o008_r01219","B_o008_r01243","1","7","1","3","WP09C00674","3","1","1","B","1","positive","1","True"
"0","B_o008_r01221","B_o008_r01245","1","14","1","4","WP09C00674","3","1","4","B","4","positive","4","True"
"2","B_o008_r01273","B_o008_r01275","7","14","3","4","WP09C00676","5","3","3","B","3","positive","3","True"
"0","B_o008_r01273","B_o008_r01279","3","7","2","3","WP09C00676","3","1","2","B","2","positive","2","True"
"0","B_o008_r01275","B_o008_r01281","3","14","2","4","WP09C00676","3","1","5","B","5","positive","5","True"
"0","B_o008_r01285","B_o008_r01287","7","14","3","4","WP09C00677","3","1","3","B","3","positive","3","True"
"2","B_o008_r01226","B_o008_r01250","1","7","1","3","WP09C00678","5","3","1","B","1","positive","1","True"
"2","B_o008_r01229","B_o008_r01253","1","14","1","4","WP09C00685","5","3","4","B","4","positive","4","True"
"2","B_o008_r01297","B_o008_r01299","7","14","3","4","WP09C00686","5","3","3","B","3","positive","3","True"
"0","B_o008_r01297","B_o008_r01303","3","7","2","3","WP09C00686","3","1","2","B","2","positive","2","True"
"0","B_o008_r01299","B_o008_r01305","3","14","2","4","WP09C00686","3","1","5","B","5","positive","5","True"
"0","B_o008_r01298","B_o008_r01304","3","7","2","3","WP09C00689","3","1","2","B","2","positive","2","True"
"0","B_o009_r01387","B_o009_r01389","7","14","3","4","WP09C00696","3","1","3","B","3","positive","3","True"
"0","B_o009_r01429","B_o009_r01431","7","14","3","4","WP09C00697","3","1","3","B","3","positive","3","True"
"0","B_o009_r01394","B_o009_r01400","3","7","2","3","WP09C00698","3","1","2","B","2","positive","2","True"
"1","B_o009_r01325","B_o009_r01331","3","14","2","4","WP09C00702","5","3","3","B","3","positive","3","True"
"0","B_o009_r01331","B_o009_r01355","1","14","1","4","WP09C00702","3","1","4","B","4","positive","4","True"
"0","B_o009_r01435","B_o009_r01437","7","14","3","4","WP09C00703","3","1","3","B","3","positive","3","True"
"1","B_o009_r01333","B_o009_r01335","7","14","3","4","WP09C00710","5","3","3","B","3","positive","3","True"
"0","B_o009_r01333","B_o009_r01357","1","7","1","3","WP09C00710","3","1","1","B","1","positive","1","True"
"0","B_o009_r01335","B_o009_r01359","1","14","1","4","WP09C00710","3","1","4","B","4","positive","4","True"
"0","B_o009_r01334","B_o009_r01358","1","7","1","3","WP09C00712","3","1","1","B","1","positive","1","True"
"1","B_o009_r01323","B_o009_r01329","3","14","2","4","WP09C00713","5","3","3","B","3","positive","3","True"
"0","B_o009_r01329","B_o009_r01353","1","14","1","4","WP09C00713","3","1","4","B","4","positive","4","True"
