"D","Delta","EDD_order","P","SPT_order","TT_EDD","TT_SPT","d_by_rank","d_multiset","instance_id","n","p_by_rank","panel","tau_den","tau_num"
"25","-19","[1,5,2,4,3]","25","[1,2,3,4,5]","48","29","[1,5,9,7,3]","[1,3,5,7,9]","B_o001_r00372","5","[1,2,4,7,11]","B","5","4"
"25","-3","[1,3,4,2,5]","25","[1,2,3,4,5]","32","29","[1,7,3,5,9]","[1,3,5,7,9]","B_o001_r00373","5","[1,2,4,7,11]","B","5","4"
"25","-11","[1,3,5,2,4]","25","[1,2,3,4,5]","40","29","[1,7,3,9,5]","[1,3,5,7,9]","B_o001_r00374","5","[1,2,4,7,11]","B","5","4"
"25","-6","[1,4,3,2,5]","25","[1,2,3,4,5]","35","29","[1,7,5,3,9]","[1,3,5,7,9]","B_o001_r00375","5","[1,2,4,7,11]","B","5","4"
"25","-18","[1,5,3,2,4]","25","[1,2,3,4,5]","47","29","[1,7,5,9,3]","[1,3,5,7,9]","B_o001_r00376","5","[1,2,4,7,11]","B","5","4"
"25","-18","[1,4,5,2,3]","25","[1,2,3,4,5]","49","31","[1,7,9,3,5]","[1,3,5,7,9]","B_o001_r00377","5","[1,2,4,7,11]","B","5","4"
"25","-22","[1,5,4,2,3]","25","[1,2,3,4,5]","53","31","[1,7,9,5,3]","[1,3,5,7,9]","B_o001_r00378","5","[1,2,4,7,11]","B","5","4"
"25","-10","[1,3,4,5,2]","25","[1,2,3,4,5]","41","31","[1,9,3,5,7]","[1,3,5,7,9]","B_o001_r00379","5","[1,2,4,7,11]","B","5","4"
"25","-14","[1,3,5,4,2]","25","[1,2,3,4,5]","45","31","[1,9,3,7,5]","[1,3,5,7,9]","B_o001_r00380","5","[1,2,4,7,11]","B","5","4"
"25","-13","[1,4,3,5,2]","25","[1,2,3,4,5]","44","31","[1,9,5,3,7]","[1,3,5,7,9]","B_o001_r00381","5","[1,2,4,7,11]","B","5","4"
"25","-21","[1,5,3,4,2]","25","[1,2,3,4,5]","52","31","[1,9,5,7,3]","[1,3,5,7,9]","B_o001_r00382","5","[1,2,4,7,11]","B","5","4"
"25","","[1,4,5,3,2]","25","[1,2,3,4,5]","","","[1,9,7,3,5]","[1,3,5,7,9]","B_o001_r00383","5","[1,2,4,7,11]","B","5","4"
"25","","[1,5,4,3,2]","25","[1,2,3,4,5]","","","[1,9,7,5,3]","[1,3,5,7,9]","B_o001_r00384","5","[1,2,4,7,11]","B","5","4"
"25","1","[2,1,3,4,5]","25","[1,2,3,4,5]","26","27","[3,1,5,7,9]","[1,3,5,7,9]","B_o001_r00385","5","[1,2,4,7,11]","B","5","4"
"25","-3","[2,1,3,5,4]","25","[1,2,3,4,5]","30","27","[3,1,5,9,7]","[1,3,5,7,9]","B_o001_r00386","5","[1,2,4,7,11]","B","5","4"
"25","-2","[2,1,4,3,5]","25","[1,2,3,4,5]","29","27","[3,1,7,5,9]","[1,3,5,7,9]","B_o001_r00387","5","[1,2,4,7,11]","B","5","4"
"25","-10","[2,1,5,3,4]","25","[1,2,3,4,5]","37","27","[3,1,7,9,5]","[1,3,5,7,9]","B_o001_r00388","5","[1,2,4,7,11]","B","5","4"
"25","-7","[2,1,4,5,3]","25","[1,2,3,4,5]","36","29","[3,1,9,5,7]","[1,3,5,7,9]","B_o001_r00389","5","[1,2,4,7,11]","B","5","4"
"25","-11","[2,1,5,4,3]","25","[1,2,3,4,5]","40","29","[3,1,9,7,5]","[1,3,5,7,9]","B_o001_r00390","5","[1,2,4,7,11]","B","5","4"
"25","","[3,1,2,4,5]","25","[1,2,3,4,5]","","","[3,5,1,7,9]","[1,3,5,7,9]","B_o001_r00391","5","[1,2,4,7,11]","B","5","4"
"25","","[3,1,2,5,4]","25","[1,2,3,4,5]","","","[3,5,1,9,7]","[1,3,5,7,9]","B_o001_r00392","5","[1,2,4,7,11]","B","5","4"
"25","-10","[4,1,2,3,5]","25","[1,2,3,4,5]","39","29","[3,5,7,1,9]","[1,3,5,7,9]","B_o001_r00393","5","[1,2,4,7,11]","B","5","4"
"25","-26","[5,1,2,3,4]","25","[1,2,3,4,5]","55","29","[3,5,7,9,1]","[1,3,5,7,9]","B_o001_r00394","5","[1,2,4,7,11]","B","5","4"
"25","-15","[4,1,2,5,3]","25","[1,2,3,4,5]","46","31","[3,5,9,1,7]","[1,3,5,7,9]","B_o001_r00395","5","[1,2,4,7,11]","B","5","4"
"25","-27","[5,1,2,4,3]","25","[1,2,3,4,5]","58","31","[3,5,9,7,1]","[1,3,5,7,9]","B_o001_r00396","5","[1,2,4,7,11]","B","5","4"
"25","-4","[3,1,4,2,5]","25","[1,2,3,4,5]","35","31","[3,7,1,5,9]","[1,3,5,7,9]","B_o001_r00397","5","[1,2,4,7,11]","B","5","4"
"25","-12","[3,1,5,2,4]","25","[1,2,3,4,5]","43","31","[3,7,1,9,5]","[1,3,5,7,9]","B_o001_r00398","5","[1,2,4,7,11]","B","5","4"
"25","-10","[4,1,3,2,5]","25","[1,2,3,4,5]","41","31","[3,7,5,1,9]","[1,3,5,7,9]","B_o001_r00399","5","[1,2,4,7,11]","B","5","4"
"25","-26","[5,1,3,2,4]","25","[1,2,3,4,5]","57","31","[3,7,5,9,1]","[1,3,5,7,9]","B_o001_r00400","5","[1,2,4,7,11]","B","5","4"
"25","-22","[4,1,5,2,3]","25","[1,2,3,4,5]","55","33","[3,7,9,1,5]","[1,3,5,7,9]","B_o001_r00401","5","[1,2,4,7,11]","B","5","4"
"25","-30","[5,1,4,2,3]","25","[1,2,3,4,5]","63","33","[3,7,9,5,1]","[1,3,5,7,9]","B_o001_r00402","5","[1,2,4,7,11]","B","5","4"
"25","-11","[3,1,4,5,2]","25","[1,2,3,4,5]","44","33","[3,9,1,5,7]","[1,3,5,7,9]","B_o001_r00403","5","[1,2,4,7,11]","B","5","4"
"25","-15","[3,1,5,4,2]","25","[1,2,3,4,5]","48","33","[3,9,1,7,5]","[1,3,5,7,9]","B_o001_r00404","5","[1,2,4,7,11]","B","5","4"
"25","-17","[4,1,3,5,2]","25","[1,2,3,4,5]","50","33","[3,9,5,1,7]","[1,3,5,7,9]","B_o001_r00405","5","[1,2,4,7,11]","B","5","4"
"25","-29","[5,1,3,4,2]","25","[1,2,3,4,5]","62","33","[3,9,5,7,1]","[1,3,5,7,9]","B_o001_r00406","5","[1,2,4,7,11]","B","5","4"
"25","","[4,1,5,3,2]","25","[1,2,3,4,5]","","","[3,9,7,1,5]","[1,3,5,7,9]","B_o001_r00407","5","[1,2,4,7,11]","B","5","4"
"25","","[5,1,4,3,2]","25","[1,2,3,4,5]","","","[3,9,7,5,1]","[1,3,5,7,9]","B_o001_r00408","5","[1,2,4,7,11]","B","5","4"
"25","0","[2,3,1,4,5]","25","[1,2,3,4,5]","29","29","[5,1,3,7,9]","[1,3,5,7,9]","B_o001_r00409","5","[1,2,4,7,11]","B","5","4"
"25","-4","[2,3,1,5,4]","25","[1,2,3,4,5]","33","29","[5,1,3,9,7]","[1,3,5,7,9]","B_o001_r00410","5","[1,2,4,7,11]","B","5","4"
"25","-6","[2,4,1,3,5]","25","[1,2,3,4,5]","35","29","[5,1,7,3,9]","[1,3,5,7,9]","B_o001_r00411","5","[1,2,4,7,11]","B","5","4"
"25","-18","[2,5,1,3,4]","25","[1,2,3,4,5]","47","29","[5,1,7,9,3]","[1,3,5,7,9]","B_o001_r00412","5","[1,2,4,7,11]","B","5","4"
"25","-11","[2,4,1,5,3]","25","[1,2,3,4,5]","42","31","[5,1,9,3,7]","[1,3,5,7,9]","B_o001_r00413","5","[1,2,4,7,11]","B","5","4"
"25","-19","[2,5,1,4,3]","25","[1,2,3,4,5]","50","31","[5,1,9,7,3]","[1,3,5,7,9]","B_o001_r00414","5","[1,2,4,7,11]","B","5","4"
"25","","[3,2,1,4,5]","25","[1,2,3,4,5]","","","[5,3,1,7,9]","[1,3,5,7,9]","B_o001_r00415","5","[1,2,4,7,11]","B","5","4"
"25","","[3,2,1,5,4]","25","[1,2,3,4,5]","","","[5,3,1,9,7]","[1,3,5,7,9]","B_o001_r00416","5","[1,2,4,7,11]","B","5","4"
"25","","[4,2,1,3,5]","25","[1,2,3,4,5]","","","[5,3,7,1,9]","[1,3,5,7,9]","B_o001_r00417","5","[1,2,4,7,11]","B","5","4"
"25","","[5,2,1,3,4]","25","[1,2,3,4,5]","","","[5,3,7,9,1]","[1,3,5,7,9]","B_o001_r00418","5","[1,2,4,7,11]","B","5","4"
"25","","[4,2,1,5,3]","25","[1,2,3,4,5]","","","[5,3,9,1,7]","[1,3,5,7,9]","B_o001_r00419","5","[1,2,4,7,11]","B","5","4"
"25","","[5,2,1,4,3]","25","[1,2,3,4,5]","","","[5,3,9,7,1]","[1,3,5,7,9]","B_o001_r00420","5","[1,2,4,7,11]","B","5","4"
"25","-8","[3,4,1,2,5]","25","[1,2,3,4,5]","41","33","[5,7,1,3,9]","[1,3,5,7,9]","B_o001_r00421","5","[1,2,4,7,11]","B","5","4"
"25","-20","[3,5,1,2,4]","25","[1,2,3,4,5]","53","33","[5,7,1,9,3]","[1,3,5,7,9]","B_o001_r00422","5","[1,2,4,7,11]","B","5","4"
"25","-11","[4,3,1,2,5]","25","[1,2,3,4,5]","44","33","[5,7,3,1,9]","[1,3,5,7,9]","B_o001_r00423","5","[1,2,4,7,11]","B","5","4"
"25","-27","[5,3,1,2,4]","25","[1,2,3,4,5]","60","33","[5,7,3,9,1]","[1,3,5,7,9]","B_o001_r00424","5","[1,2,4,7,11]","B","5","4"
"25","-30","[4,5,1,2,3]","25","[1,2,3,4,5]","65","35","[5,7,9,1,3]","[1,3,5,7,9]","B_o001_r00425","5","[1,2,4,7,11]","B","5","4"
"25","-34","[5,4,1,2,3]","25","[1,2,3,4,5]","69","35","[5,7,9,3,1]","[1,3,5,7,9]","B_o001_r00426","5","[1,2,4,7,11]","B","5","4"
"25","-15","[3,4,1,5,2]","25","[1,2,3,4,5]","50","35","[5,9,1,3,7]","[1,3,5,7,9]","B_o001_r00427","5","[1,2,4,7,11]","B","5","4"
"25","-23","[3,5,1,4,2]","25","[1,2,3,4,5]","58","35","[5,9,1,7,3]","[1,3,5,7,9]","B_o001_r00428","5","[1,2,4,7,11]","B","5","4"
"25","-18","[4,3,1,5,2]","25","[1,2,3,4,5]","53","35","[5,9,3,1,7]","[1,3,5,7,9]","B_o001_r00429","5","[1,2,4,7,11]","B","5","4"
"25","-30","[5,3,1,4,2]","25","[1,2,3,4,5]","65","35","[5,9,3,7,1]","[1,3,5,7,9]","B_o001_r00430","5","[1,2,4,7,11]","B","5","4"
"25","","[4,5,1,3,2]","25","[1,2,3,4,5]","","","[5,9,7,1,3]","[1,3,5,7,9]","B_o001_r00431","5","[1,2,4,7,11]","B","5","4"
"25","","[5,4,1,3,2]","25","[1,2,3,4,5]","","","[5,9,7,3,1]","[1,3,5,7,9]","B_o001_r00432","5","[1,2,4,7,11]","B","5","4"
"25","-4","[2,3,4,1,5]","25","[1,2,3,4,5]","35","31","[7,1,3,5,9]","[1,3,5,7,9]","B_o001_r00433","5","[1,2,4,7,11]","B","5","4"
"25","-12","[2,3,5,1,4]","25","[1,2,3,4,5]","43","31","[7,1,3,9,5]","[1,3,5,7,9]","B_o001_r00434","5","[1,2,4,7,11]","B","5","4"
"25","-7","[2,4,3,1,5]","25","[1,2,3,4,5]","38","31","[7,1,5,3,9]","[1,3,5,7,9]","B_o001_r00435","5","[1,2,4,7,11]","B","5","4"
"25","-19","[2,5,3,1,4]","25","[1,2,3,4,5]","50","31","[7,1,5,9,3]","[1,3,5,7,9]","B_o001_r00436","5","[1,2,4,7,11]","B","5","4"
"25","-19","[2,4,5,1,3]","25","[1,2,3,4,5]","52","33","[7,1,9,3,5]","[1,3,5,7,9]","B_o001_r00437","5","[1,2,4,7,11]","B","5","4"
"25","-23","[2,5,4,1,3]","25","[1,2,3,4,5]","56","33","[7,1,9,5,3]","[1,3,5,7,9]","B_o001_r00438","5","[1,2,4,7,11]","B","5","4"
"25","-6","[3,2,4,1,5]","25","[1,2,3,4,5]","37","31","[7,3,1,5,9]","[1,3,5,7,9]","B_o001_r00439","5","[1,2,4,7,11]","B","5","4"
"25","-14","[3,2,5,1,4]","25","[1,2,3,4,5]","45","31","[7,3,1,9,5]","[1,3,5,7,9]","B_o001_r00440","5","[1,2,4,7,11]","B","5","4"
"25","-12","[4,2,3,1,5]","25","[1,2,3,4,5]","43","31","[7,3,5,1,9]","[1,3,5,7,9]","B_o001_r00441","5","[1,2,4,7,11]","B","5","4"
"25","-28","[5,2,3,1,4]","25","[1,2,3,4,5]","59","31","[7,3,5,9,1]","[1,3,5,7,9]","B_o001_r00442","5","[1,2,4,7,11]","B","5","4"
"25","","[4,2,5,1,3]","25","[1,2,3,4,5]","","","[7,3,9,1,5]","[1,3,5,7,9]","B_o001_r00443","5","[1,2,4,7,11]","B","5","4"
"25","","[5,2,4,1,3]","25","[1,2,3,4,5]","","","[7,3,9,5,1]","[1,3,5,7,9]","B_o001_r00444","5","[1,2,4,7,11]","B","5","4"
"25","-9","[3,4,2,1,5]","25","[1,2,3,4,5]","42","33","[7,5,1,3,9]","[1,3,5,7,9]","B_o001_r00445","5","[1,2,4,7,11]","B","5","4"
"25","-21","[3,5,2,1,4]","25","[1,2,3,4,5]","54","33","[7,5,1,9,3]","[1,3,5,7,9]","B_o001_r00446","5","[1,2,4,7,11]","B","5","4"
"25","-12","[4,3,2,1,5]","25","[1,2,3,4,5]","45","33","[7,5,3,1,9]","[1,3,5,7,9]","B_o001_r00447","5","[1,2,4,7,11]","B","5","4"
"25","-28","[5,3,2,1,4]","25","[1,2,3,4,5]","61","33","[7,5,3,9,1]","[1,3,5,7,9]","B_o001_r00448","5","[1,2,4,7,11]","B","5","4"
"25","","[4,5,2,1,3]","25","[1,2,3,4,5]","","","[7,5,9,1,3]","[1,3,5,7,9]","B_o001_r00449","5","[1,2,4,7,11]","B","5","4"
"25","","[5,4,2,1,3]","25","[1,2,3,4,5]","","","[7,5,9,3,1]","[1,3,5,7,9]","B_o001_r00450","5","[1,2,4,7,11]","B","5","4"
"25","-23","[3,4,5,1,2]","25","[1,2,3,4,5]","60","37","[7,9,1,3,5]","[1,3,5,7,9]","B_o001_r00451","5","[1,2,4,7,11]","B","5","4"
"25","-27","[3,5,4,1,2]","25","[1,2,3,4,5]","64","37","[7,9,1,5,3]","[1,3,5,7,9]","B_o001_r00452","5","[1,2,4,7,11]","B","5","4"
"25","-26","[4,3,5,1,2]","25","[1,2,3,4,5]","63","37","[7,9,3,1,5]","[1,3,5,7,9]","B_o001_r00453","5","[1,2,4,7,11]","B","5","4"
"25","-34","[5,3,4,1,2]","25","[1,2,3,4,5]","71","37","[7,9,3,5,1]","[1,3,5,7,9]","B_o001_r00454","5","[1,2,4,7,11]","B","5","4"
"25","","[4,5,3,1,2]","25","[1,2,3,4,5]","","","[7,9,5,1,3]","[1,3,5,7,9]","B_o001_r00455","5","[1,2,4,7,11]","B","5","4"
"25","","[5,4,3,1,2]","25","[1,2,3,4,5]","","","[7,9,5,3,1]","[1,3,5,7,9]","B_o001_r00456","5","[1,2,4,7,11]","B","5","4"
"25","-12","[2,3,4,5,1]","25","[1,2,3,4,5]","45","33","[9,1,3,5,7]","[1,3,5,7,9]","B_o001_r00457","5","[1,2,4,7,11]","B","5","4"
"25","-16","[2,3,5,4,1]","25","[1,2,3,4,5]","49","33","[9,1,3,7,5]","[1,3,5,7,9]","B_o001_r00458","5","[1,2,4,7,11]","B","5","4"
"25","-15","[2,4,3,5,1]","25","[1,2,3,4,5]","48","33","[9,1,5,3,7]","[1,3,5,7,9]","B_o001_r00459","5","[1,2,4,7,11]","B","5","4"
"25","-23","[2,5,3,4,1]","25","[1,2,3,4,5]","56","33","[9,1,5,7,3]","[1,3,5,7,9]","B_o001_r00460","5","[1,2,4,7,11]","B","5","4"
"25","","[2,4,5,3,1]","25","[1,2,3,4,5]","","","[9,1,7,3,5]","[1,3,5,7,9]","B_o001_r00461","5","[1,2,4,7,11]","B","5","4"
"25","","[2,5,4,3,1]","25","[1,2,3,4,5]","","","[9,1,7,5,3]","[1,3,5,7,9]","B_o001_r00462","5","[1,2,4,7,11]","B","5","4"
"25","-14","[3,2,4,5,1]","25","[1,2,3,4,5]","47","33","[9,3,1,5,7]","[1,3,5,7,9]","B_o001_r00463","5","[1,2,4,7,11]","B","5","4"
"25","-18","[3,2,5,4,1]","25","[1,2,3,4,5]","51","33","[9,3,1,7,5]","[1,3,5,7,9]","B_o001_r00464","5","[1,2,4,7,11]","B","5","4"
"25","-20","[4,2,3,5,1]","25","[1,2,3,4,5]","53","33","[9,3,5,1,7]","[1,3,5,7,9]","B_o001_r00465","5","[1,2,4,7,11]","B","5","4"
"25","-32","[5,2,3,4,1]","25","[1,2,3,4,5]","65","33","[9,3,5,7,1]","[1,3,5,7,9]","B_o001_r00466","5","[1,2,4,7,11]","B","5","4"
"25","","[4,2,5,3,1]","25","[1,2,3,4,5]","","","[9,3,7,1,5]","[1,3,5,7,9]","B_o001_r00467","5","[1,2,4,7,11]","B","5","4"
"25","","[5,2,4,3,1]","25","[1,2,3,4,5]","","","[9,3,7,5,1]","[1,3,5,7,9]","B_o001_r00468","5","[1,2,4,7,11]","B","5","4"
"25","-17","[3,4,2,5,1]","25","[1,2,3,4,5]","52","35","[9,5,1,3,7]","[1,3,5,7,9]","B_o001_r00469","5","[1,2,4,7,11]","B","5","4"
"25","-25","[3,5,2,4,1]","25","[1,2,3,4,5]","60","35","[9,5,1,7,3]","[1,3,5,7,9]","B_o001_r00470","5","[1,2,4,7,11]","B","5","4"
"25","-20","[4,3,2,5,1]","25","[1,2,3,4,5]","55","35","[9,5,3,1,7]","[1,3,5,7,9]","B_o001_r00471","5","[1,2,4,7,11]","B","5","4"
"25","-32","[5,3,2,4,1]","25","[1,2,3,4,5]","67","35","[9,5,3,7,1]","[1,3,5,7,9]","B_o001_r00472","5","[1,2,4,7,11]","B","5","4"
"25","","[4,5,2,3,1]","25","[1,2,3,4,5]","","","[9,5,7,1,3]","[1,3,5,7,9]","B_o001_r00473","5","[1,2,4,7,11]","B","5","4"
"25","","[5,4,2,3,1]","25","[1,2,3,4,5]","","","[9,5,7,3,1]","[1,3,5,7,9]","B_o001_r00474","5","[1,2,4,7,11]","B","5","4"
"25","","[3,4,5,2,1]","25","[1,2,3,4,5]","","","[9,7,1,3,5]","[1,3,5,7,9]","B_o001_r00475","5","[1,2,4,7,11]","B","5","4"
"25","","[3,5,4,2,1]","25","[1,2,3,4,5]","","","[9,7,1,5,3]","[1,3,5,7,9]","B_o001_r00476","5","[1,2,4,7,11]","B","5","4"
"25","","[4,3,5,2,1]","25","[1,2,3,4,5]","","","[9,7,3,1,5]","[1,3,5,7,9]","B_o001_r00477","5","[1,2,4,7,11]","B","5","4"
"25","","[5,3,4,2,1]","25","[1,2,3,4,5]","","","[9,7,3,5,1]","[1,3,5,7,9]","B_o001_r00478","5","[1,2,4,7,11]","B","5","4"
"25","","[4,5,3,2,1]","25","[1,2,3,4,5]","","","[9,7,5,1,3]","[1,3,5,7,9]","B_o001_r00479","5","[1,2,4,7,11]","B","5","4"
"25","","[5,4,3,2,1]","25","[1,2,3,4,5]","","","[9,7,5,3,1]","[1,3,5,7,9]","B_o001_r00480","5","[1,2,4,7,11]","B","5","4"
"27","0","[1,2,3,4,5]","25","[1,2,3,4,5]","23","23","[1,3,5,7,11]","[1,3,5,7,11]","B_o002_r00481","5","[1,2,4,7,11]","B","125","98"
"27","-4","[1,2,3,5,4]","25","[1,2,3,4,5]","27","23","[1,3,5,11,7]","[1,3,5,7,11]","B_o002_r00482","5","[1,2,4,7,11]","B","125","98"
"27","-3","[1,2,4,3,5]","25","[1,2,3,4,5]","26","23","[1,3,7,5,11]","[1,3,5,7,11]","B_o002_r00483","5","[1,2,4,7,11]","B","125","98"
"27","-11","[1,2,5,3,4]","25","[1,2,3,4,5]","34","23","[1,3,7,11,5]","[1,3,5,7,11]","B_o002_r00484","5","[1,2,4,7,11]","B","125","98"
"27","-6","[1,2,4,5,3]","25","[1,2,3,4,5]","33","27","[1,3,11,5,7]","[1,3,5,7,11]","B_o002_r00485","5","[1,2,4,7,11]","B","125","98"
"27","-10","[1,2,5,4,3]","25","[1,2,3,4,5]","37","27","[1,3,11,7,5]","[1,3,5,7,11]","B_o002_r00486","5","[1,2,4,7,11]","B","125","98"
"27","","[1,3,2,4,5]","25","[1,2,3,4,5]","","","[1,5,3,7,11]","[1,3,5,7,11]","B_o002_r00487","5","[1,2,4,7,11]","B","125","98"
"27","","[1,3,2,5,4]","25","[1,2,3,4,5]","","","[1,5,3,11,7]","[1,3,5,7,11]","B_o002_r00488","5","[1,2,4,7,11]","B","125","98"
"27","-6","[1,4,2,3,5]","25","[1,2,3,4,5]","31","25","[1,5,7,3,11]","[1,3,5,7,11]","B_o002_r00489","5","[1,2,4,7,11]","B","125","98"
"27","-18","[1,5,2,3,4]","25","[1,2,3,4,5]","43","25","[1,5,7,11,3]","[1,3,5,7,11]","B_o002_r00490","5","[1,2,4,7,11]","B","125","98"
"27","-9","[1,4,2,5,3]","25","[1,2,3,4,5]","38","29","[1,5,11,3,7]","[1,3,5,7,11]","B_o002_r00491","5","[1,2,4,7,11]","B","125","98"
"27","-17","[1,5,2,4,3]","25","[1,2,3,4,5]","46","29","[1,5,11,7,3]","[1,3,5,7,11]","B_o002_r00492","5","[1,2,4,7,11]","B","125","98"
"27","-3","[1,3,4,2,5]","25","[1,2,3,4,5]","30","27","[1,7,3,5,11]","[1,3,5,7,11]","B_o002_r00493","5","[1,2,4,7,11]","B","125","98"
"27","-11","[1,3,5,2,4]","25","[1,2,3,4,5]","38","27","[1,7,3,11,5]","[1,3,5,7,11]","B_o002_r00494","5","[1,2,4,7,11]","B","125","98"
"27","-6","[1,4,3,2,5]","25","[1,2,3,4,5]","33","27","[1,7,5,3,11]","[1,3,5,7,11]","B_o002_r00495","5","[1,2,4,7,11]","B","125","98"
"27","-18","[1,5,3,2,4]","25","[1,2,3,4,5]","45","27","[1,7,5,11,3]","[1,3,5,7,11]","B_o002_r00496","5","[1,2,4,7,11]","B","125","98"
"27","-16","[1,4,5,2,3]","25","[1,2,3,4,5]","47","31","[1,7,11,3,5]","[1,3,5,7,11]","B_o002_r00497","5","[1,2,4,7,11]","B","125","98"
"27","-20","[1,5,4,2,3]","25","[1,2,3,4,5]","51","31","[1,7,11,5,3]","[1,3,5,7,11]","B_o002_r00498","5","[1,2,4,7,11]","B","125","98"
"27","-8","[1,3,4,5,2]","25","[1,2,3,4,5]","39","31","[1,11,3,5,7]","[1,3,5,7,11]","B_o002_r00499","5","[1,2,4,7,11]","B","125","98"
"27","-12","[1,3,5,4,2]","25","[1,2,3,4,5]","43","31","[1,11,3,7,5]","[1,3,5,7,11]","B_o002_r00500","5","[1,2,4,7,11]","B","125","98"
"27","-11","[1,4,3,5,2]","25","[1,2,3,4,5]","42","31","[1,11,5,3,7]","[1,3,5,7,11]","B_o002_r00501","5","[1,2,4,7,11]","B","125","98"
"27","-19","[1,5,3,4,2]","25","[1,2,3,4,5]","50","31","[1,11,5,7,3]","[1,3,5,7,11]","B_o002_r00502","5","[1,2,4,7,11]","B","125","98"
"27","","[1,4,5,3,2]","25","[1,2,3,4,5]","","","[1,11,7,3,5]","[1,3,5,7,11]","B_o002_r00503","5","[1,2,4,7,11]","B","125","98"
"27","","[1,5,4,3,2]","25","[1,2,3,4,5]","","","[1,11,7,5,3]","[1,3,5,7,11]","B_o002_r00504","5","[1,2,4,7,11]","B","125","98"
"27","1","[2,1,3,4,5]","25","[1,2,3,4,5]","24","25","[3,1,5,7,11]","[1,3,5,7,11]","B_o002_r00505","5","[1,2,4,7,11]","B","125","98"
"27","-3","[2,1,3,5,4]","25","[1,2,3,4,5]","28","25","[3,1,5,11,7]","[1,3,5,7,11]","B_o002_r00506","5","[1,2,4,7,11]","B","125","98"
"27","-2","[2,1,4,3,5]","25","[1,2,3,4,5]","27","25","[3,1,7,5,11]","[1,3,5,7,11]","B_o002_r00507","5","[1,2,4,7,11]","B","125","98"
"27","-10","[2,1,5,3,4]","25","[1,2,3,4,5]","35","25","[3,1,7,11,5]","[1,3,5,7,11]","B_o002_r00508","5","[1,2,4,7,11]","B","125","98"
"27","-5","[2,1,4,5,3]","25","[1,2,3,4,5]","34","29","[3,1,11,5,7]","[1,3,5,7,11]","B_o002_r00509","5","[1,2,4,7,11]","B","125","98"
"27","-9","[2,1,5,4,3]","25","[1,2,3,4,5]","38","29","[3,1,11,7,5]","[1,3,5,7,11]","B_o002_r00510","5","[1,2,4,7,11]","B","125","98"
"27","","[3,1,2,4,5]","25","[1,2,3,4,5]","","","[3,5,1,7,11]","[1,3,5,7,11]","B_o002_r00511","5","[1,2,4,7,11]","B","125","98"
"27","","[3,1,2,5,4]","25","[1,2,3,4,5]","","","[3,5,1,11,7]","[1,3,5,7,11]","B_o002_r00512","5","[1,2,4,7,11]","B","125","98"
"27","-10","[4,1,2,3,5]","25","[1,2,3,4,5]","37","27","[3,5,7,1,11]","[1,3,5,7,11]","B_o002_r00513","5","[1,2,4,7,11]","B","125","98"
"27","-26","[5,1,2,3,4]","25","[1,2,3,4,5]","53","27","[3,5,7,11,1]","[1,3,5,7,11]","B_o002_r00514","5","[1,2,4,7,11]","B","125","98"
"27","-13","[4,1,2,5,3]","25","[1,2,3,4,5]","44","31","[3,5,11,1,7]","[1,3,5,7,11]","B_o002_r00515","5","[1,2,4,7,11]","B","125","98"
